tweet_id,created_at,text
1356322954485886976,2021-02-01 19:26:06,"Fantastic that Jeanette has got her jab!

The COVID-19 vaccine has now been offered to residents at every eligible… https://t.co/F9slraCuPw"
1356143343600885761,2021-02-01 07:32:23,"I condemn the coup and unlawful imprisonment of civilians, including Aung San Suu Kyi, in Myanmar. The vote of the… https://t.co/OmApQI36sW"
1355937035362697217,2021-01-31 17:52:35,"My thoughts are very much with @CaptainTomMoore and his family. You’ve inspired the whole nation, and I know we are… https://t.co/f5xMJxweDu"
1355616561168572426,2021-01-30 20:39:08,"More than 8 million people across the United Kingdom have now received their first vaccine dose.

Thank you to ever… https://t.co/t6H6SUrih7"
1355432333487333376,2021-01-30 08:27:05,"I want to say a huge thank you to the parents, carers and guardians of children. 

Millions of you have coped with… https://t.co/0VVCDvZ6AM"
1355219826092990466,2021-01-29 18:22:39,"It was the highlight of my day to virtually drop in on the Year 6 class of St Joseph’s Catholic Primary School, Upm… https://t.co/S4EtmDcXwV"
1355161983222480896,2021-01-29 14:32:49,Very encouraging that early trials of the vaccine developed by Janssen show it to be effective against coronavirus.… https://t.co/T48q4PmeZB
1355093797575794689,2021-01-29 10:01:52,Yesterday I visited Scotland to see how the UK Government is supporting our Scottish Government colleagues to beat… https://t.co/jdDdn4dXDa
1354918982860595201,2021-01-28 22:27:13,"In Scotland I met the brilliant healthcare workers, scientists and military personnel co-ordinating the pandemic re… https://t.co/rMnPipWllT"
1354901600242905088,2021-01-28 21:18:09,Good news that the @Novavax vaccine has proved effective in UK trials. Thank you to all the volunteers who made the… https://t.co/5qGDCw8A1J
1354739954585317380,2021-01-28 10:35:49,"🚨 UPDATE: We’ve now recruited over 6,000 new police officers, well ahead of our March 2021 target. 

We’re committe… https://t.co/CDlkgppwZX"
1354717071117066245,2021-01-28 09:04:53,"It’s brilliant that @ValnevaSE is starting the large-scale manufacture of its potential vaccine, creating 100 high-… https://t.co/tpnhfgQwzl"
1354505365250068483,2021-01-27 19:03:39,Fantastic climate leadership from @JoeBiden and team today - joining the UK in committing to reach net zero by 2050… https://t.co/GRDRqi9XR3
