tweet_id,created_at,text
1356342810266398720,2021-02-01 20:45:00,"The UK has secured a further 40 million doses of the @valnevaSE vaccine.

The latest deal will support long-term va… https://t.co/n6yfyfp8vx"
1356337799012749316,2021-02-01 20:25:05,"Over 100 cases of the #COVID19 variant first identified in South Africa has been found in the UK.

We're increasing… https://t.co/fWNn8U9mQu"
1356331491542839297,2021-02-01 20:00:01,"The #COVID19 vaccine is free of charge on the NHS.

The NHS will never ask for:
❌ your bank account or card details… https://t.co/Cm9Ylmwh4C"
1356331240635428865,2021-02-01 19:59:01,"RT @DHSCgovuk: We are increasing testing in areas where the #COVID19 variant first identified in South Africa has been found.
 
This will h…"
1356320161553383431,2021-02-01 19:15:00,"""It's really important to get symptom-free tests because we know that one in three people who have coronavirus have… https://t.co/heRL99h09A"
1356313127487471617,2021-02-01 18:47:03,RT @MattHancock: We’ve now visited every eligible care home with older residents in England &amp; offered vaccinations to all their residents a…
1356308838866165761,2021-02-01 18:30:00,"The NHS is delivering the #COVID19 vaccination at a range of different sites including:

✅ large vaccination centre… https://t.co/0bcso3qFtb"
1356302435787157506,2021-02-01 18:04:34,"Foundry Primary Care Network held a vaccine pop-up clinic at Jamia Ghausia Centre on Sunday, the first clinic in a… https://t.co/o76g2Gt7bo"
1356286115624443905,2021-02-01 16:59:43,"RT @10DowningStreet: WATCH LIVE: #Coronavirus press conference (1 February 2021)
 
Speakers:
 
⚫ @MattHancock, @DHSCgovuk Secretary
⚫ Dr Su…"
1356274987397746693,2021-02-01 16:15:30,"#COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As… https://t.co/rrviVgLGFg"
1356268571182055429,2021-02-01 15:50:00,"""When it is offered, please get the vaccine."" 

That's Chief Nurse for Adult Social Care @sturdy_deborah's message… https://t.co/ufNGDF1He7"
1356262752965300230,2021-02-01 15:26:53,"We are increasing testing in areas where the #COVID19 variant first identified in South Africa has been found.
 
Th… https://t.co/wCY5HprYnz"
1356250684895670272,2021-02-01 14:38:55,"RT @MoJGovUK: TW: Whenever it happened to you…

It’s not too late to get support.

Access confidential support from specialists who underst…"
1356234852136341504,2021-02-01 13:36:01,"RT @DHSCgovuk: ""If you are worried about the vaccine having any pork or beef or animal products or foetal cells in it, it does not."" 
 
Wat…"
1356234811573153794,2021-02-01 13:35:51,"RT @DHSCgovuk: Appointments at #COVID19 vaccination sites are timed to allow for social distancing 🕑

There's no need to arrive very early…"
1356225830565896192,2021-02-01 13:00:10,RT @10DowningStreet: This morning Prime Minister @BorisJohnson visited a local vaccination service based at the Al-Hikmah community centre…
1356218240578580480,2021-02-01 12:30:00,"Today marks the start of #ChildrensMentalHealthWeek

This year has been presented many challenges for children to p… https://t.co/2EK86KuEkn"
1356217154912346114,2021-02-01 12:25:41,"RT @CareEngland: Delivery of vaccine to all care homes for older people is  wonderful achievement, pays testament to hard work of care home…"
1356209653500305410,2021-02-01 11:55:53,"RT @JeremyFarrar: Vaccine roll out in the UK has been amazing - @NHSuk @DHSCgovuk @PHE_uk Local Communities, Local Authorities &amp; fantastic…"
1356206905383936001,2021-02-01 11:44:58,"RT @GEOgovuk: It’s LGBT History Month!

We all know that 2020 was a difficult year for so many reasons, but there were many positive LGBT m…"
1356203562695598080,2021-02-01 11:31:41,"RT @beisgovuk: UPDATE 📣 The UK has secured an additional 40 million doses of the promising @valnevaSE vaccine.

This brings the total numbe…"
1356200967616786437,2021-02-01 11:21:22,"RT @NHSEngland: ‘Please take the offer of having the vaccination when it gets to your turn.’

GP Dr @BolaOwolabi8 shares why she is reassur…"
1356187033765638147,2021-02-01 10:26:00,"Today is the start of #HIVTestWeek.

Did you know:
▶️ four in 10 people diagnosed with HIV in 2019 were heterosexua… https://t.co/cGVpcJaJtW"
1356180497756352516,2021-02-01 10:00:01,"""If you are worried about the vaccine having any pork or beef or animal products or foetal cells in it, it does not… https://t.co/JWzU3wB1JC"
1356167005964001281,2021-02-01 09:06:25,RT @10DowningStreet: WATCH: Prime Minister @BorisJohnson and Dr @NikkiKF answer your vaccine questions in a #PeoplesPMQs vaccine edition.…
1356157841896206336,2021-02-01 08:30:00,"Appointments at #COVID19 vaccination sites are timed to allow for social distancing 🕑

There's no need to arrive ve… https://t.co/OP39OsfiKL"
1356153019688251392,2021-02-01 08:10:50,"RT @NHSEngland: The NHS has offered the #COVIDVaccine to residents at every eligible care home in England.

In a major milestone for the va…"
1356149699368144896,2021-02-01 07:57:39,"RT @DHSCgovuk: The #COVID19 vaccine is free of charge on the NHS.

The NHS will never ask for:
❌ your bank account or card details
❌ your p…"
1356149663854972929,2021-02-01 07:57:30,RT @DHSCgovuk: Vaccinators and volunteers at St Helens Rugby Ground talk about their pride at being involved in the #COVID19 vaccination pr…
1356149645840445448,2021-02-01 07:57:26,"RT @DHSCgovuk: If you struggle with your mood more than usual in January, you're not alone.

There are steps you can take to help improve t…"
1356149625774878720,2021-02-01 07:57:21,"RT @DHSCgovuk: If you're finding some conversations about the #COVID19 vaccine difficult, these tips from GP @DrSarahJarvis may help:
 
👉 d…"
1355989230367830016,2021-01-31 21:20:00,"The #COVID19 vaccine is free of charge on the NHS.

The NHS will never ask for:
❌ your bank account or card details… https://t.co/JS9xiJETHg"
1355969099147354116,2021-01-31 20:00:00,The UK has recently announced the launch of the “New Variant Assessment Platform” to identify new variants of… https://t.co/UcWW3Gz3CC
1355946448936972297,2021-01-31 18:30:00,Vaccinators and volunteers at St Helens Rugby Ground talk about their pride at being involved in the #COVID19 vacci… https://t.co/PCola25Q8e
1355931350423937024,2021-01-31 17:30:00,"If you struggle with your mood more than usual in January, you're not alone.

There are steps you can take to help… https://t.co/DRAeouMJ9G"
1355912193192189954,2021-01-31 16:13:53,"#COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As… https://t.co/JJlpAuAixD"
1355878504362078208,2021-01-31 14:00:01,"If you're finding some conversations about the #COVID19 vaccine difficult, these tips from GP @DrSarahJarvis may he… https://t.co/mdf35OyKj1"
1355855852624744454,2021-01-31 12:30:00,"The NHS will tell you when it's your turn to have the #COVID19 vaccination.

You'll be contacted by letter, text or… https://t.co/9GABNl4sEn"
1355853565395427332,2021-01-31 12:20:55,"RT @nadhimzahawi: Mayor of London @SadiqKhan &amp; I are united in this: Covid vaccines are safe, they are effective, and they will help protec…"
1355825652461527045,2021-01-31 10:30:00,"#COVID19 continues to spread.

We need to work together to contain the virus and give us time to vaccinate the vuln… https://t.co/LvYS0jb1Hv"
1355821878900736001,2021-01-31 10:15:00,"""It is safe, it is effective and it could save your life or the life of someone you love.""
 
@nadhimzahawi and… https://t.co/pKsIwlfwmd"
1355803007020113920,2021-01-31 09:00:01,"It's important to follow the rules even after you’ve had the #COVID19 vaccination.

Always remember to:

🧼 wash you… https://t.co/zlvpfg108j"
1355802513195360263,2021-01-31 08:58:03,"RT @DHSCgovuk: ""I'm encouraging everyone to get their vaccination whenever it's due, especially if you are higher risk.""
 
@DrRanj explains…"
1355631875725774849,2021-01-30 21:40:00,"We have all faced disruption and uncertainty during the #COVID19 pandemic.

It's normal to feel anxious at times, b… https://t.co/0CWwmzQHJB"
1355614259770605568,2021-01-30 20:30:00,"""I'm encouraging everyone to get their vaccination whenever it's due, especially if you are higher risk.""
 
@DrRanj… https://t.co/4GJvvz8bpp"
1355584061582917633,2021-01-30 18:30:00,"The #COVID19 vaccine is free of charge on the NHS.

The NHS will never ask for:
❌ your bank account or card details… https://t.co/yS97uLgaYR"
1355561193033891841,2021-01-30 16:59:08,"RT @DHSCgovuk: We recently ran a rapid #COVID19 testing pilot at Guru Nanak Sikh Gurdwara in Wolverhampton.

Hear from worshippers, temple…"
1355561171408089091,2021-01-30 16:59:03,"RT @DHSCgovuk: ""We've just got to keep going a little bit longer and follow the rules.""
 
Watch real frontline staff and patients talk abou…"
1355561114487156741,2021-01-30 16:58:49,"RT @DHSCgovuk: The NHS is delivering the #COVID19 vaccination at a range of different sites including:

✅ large vaccination centres
✅ hospi…"
1355548088333717512,2021-01-30 16:07:03,"#COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As… https://t.co/za6DrlOZIL"
1355542537025380354,2021-01-30 15:45:00,"Over the last year, everyone working within the public health system has demonstrated incredible professionalism in… https://t.co/LxRObeDBcS"
1355529246043729921,2021-01-30 14:52:11,"RT @TheSun: .@nadhimzahawi: 'The Covid vaccine is our only way out so when you get the call to have it please, please take it' https://t.co…"
1355528820716154884,2021-01-30 14:50:30,"RT @NHSEngland: 'Seeing how happy this has made our most vulnerable is just incredibly rewarding.'

Darshna is the Vaccine Programme Manage…"
1355516121529470978,2021-01-30 14:00:02,"We recently ran a rapid #COVID19 testing pilot at Guru Nanak Sikh Gurdwara in Wolverhampton.

Hear from worshippers… https://t.co/PSarnbiLZL"
1355485913770586116,2021-01-30 12:00:00,"""We've just got to keep going a little bit longer and follow the rules.""
 
Watch real frontline staff and patients… https://t.co/CfenyL8aZ9"
1355463265174704130,2021-01-30 10:30:00,"The NHS is delivering the #COVID19 vaccination at a range of different sites including:

✅ large vaccination centre… https://t.co/Vu2JNMSgAG"
1355453609476038657,2021-01-30 09:51:38,"RT @DHSCgovuk: ""I'm over the moon that we got involved in the NHS Test and Trace programme.""
 
Watch Greg Jackson, CEO of @octopus_energy,…"
1355453584494759937,2021-01-30 09:51:32,"RT @DHSCgovuk: Delivering #COVID19 vaccinations at care homes involve a huge collaborative effort.

Ringway Mews care home in Manchester wo…"
1355440616176402434,2021-01-30 09:00:00,"We have launched a new consultation to review current regulation for tobacco, related products &amp; packaging.
 
Have… https://t.co/MM949Kx8u2"
1355266973618192385,2021-01-29 21:30:00,"#COVID19 vaccinations are now being offered at more than 1,400 NHS sites including: 

▶️ Over 1,000 led by GPs
▶️ O… https://t.co/Be29MKVQFh"
1355256246299996160,2021-01-29 20:47:23,"RT @DHSCgovuk: We are launching a new consultation to review regulation for tobacco, related products and packaging

We want your views on…"
1355232997495201794,2021-01-29 19:15:00,"""I'm over the moon that we got involved in the NHS Test and Trace programme.""
 
Watch Greg Jackson, CEO of… https://t.co/AJTG1OsyAg"
1355221673335685120,2021-01-29 18:30:00,"Delivering #COVID19 vaccinations at care homes involve a huge collaborative effort.

Ringway Mews care home in Manc… https://t.co/XbWxi4uNF5"
1355214298763636740,2021-01-29 18:00:42,RT @NHSEngland: This weekend marks the anniversary of the first confirmed COVID-19 patients treated by #OurNHSPeople at Royal Victoria Infi…
1355206575850446849,2021-01-29 17:30:00,"We are launching a new consultation to review regulation for tobacco, related products and packaging

We want your… https://t.co/o33tWLoDt2"
1355189828128808960,2021-01-29 16:23:27,"#COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As… https://t.co/ighoR3gvte"
1355189097602674690,2021-01-29 16:20:33,"RT @NHSEngland: ‘I would encourage you, just as I’ve been encouraged to take my COVID vaccine.’

Professor Jacqueline Dunkley-Bent, @TeamCM…"
1355186727539929088,2021-01-29 16:11:08,"RT @10DowningStreet: 💬 ASK THE EXPERTS

Wendy from Saffron Walden asks Professor Jonathan Van-Tam about UK vaccine supplies. 

📢 Ask your q…"
1355176375561367552,2021-01-29 15:30:00,"""It's very hard for everybody. But, people should just stay home.""

Our NHS is still under pressure from #COVID19.… https://t.co/0VMTryykdn"
1355168176959598597,2021-01-29 14:57:25,"RT @beisgovuk: BREAKING NEWS📣

The single-dose @JanssenUS vaccine was found to be 66% effective in preventing #coronavirus in its phase 3 t…"
1355147200364425218,2021-01-29 13:34:04,"Latest weekly figures for the reproduction number (R) and growth rate of coronavirus (#COVID19)

Statistics for Eng… https://t.co/V6hu66MTeY"
1355131077237596160,2021-01-29 12:30:00,"Earlier this week, @MattHancock heard from members of staff at Yateley Primary Care Network, who have given… https://t.co/ldLNNXJcJK"
1355126693611110400,2021-01-29 12:12:35,RT @NHSSW: Today former football manager and player @redknapp received his #CovidVaccination as the roll out continues across #Dorset and t…
1355122375327682560,2021-01-29 11:55:25,"RT @MoJGovUK: Without somewhere to stay upon release, evidence suggests that offenders are around 50% more likely to break the law again.…"
1355115977684430848,2021-01-29 11:30:00,"""If you change your behaviour you could still be spreading the virus.""

Deputy Chief Medical Officer Professor Jona… https://t.co/xfPqs7QMdE"
1355114833562247168,2021-01-29 11:25:27,"RT @10DowningStreet: Prime Minister @BorisJohnson visited Scotland yesterday. 

The UK Government is supporting Scotland to deliver tests a…"
1355093331630575620,2021-01-29 10:00:01,"The #COVID19 vaccine is free of charge on the NHS.

The NHS will never ask for:
❌ your bank account or card details… https://t.co/hd30KW0d68"
1355082002551083015,2021-01-29 09:15:00,"If you need to self-isolate, you MUST stay inside your home until you’re no longer at risk of passing the virus on.… https://t.co/C3wKoEdSWf"
1355070678806880256,2021-01-29 08:30:00,"#COVID19 vaccination sites have measures in place to help keep you safe from coronavirus. 

These include:

🕑 stagg… https://t.co/CA5vjParc9"
1354917668499959820,2021-01-28 22:21:59,"RT @DHSCgovuk: ""We are the frontline. It is important that we stay healthy.""

@DrAmirKhanGP has already had the #COVID19 vaccination and en…"
1354917569052991489,2021-01-28 22:21:36,"RT @DHSCgovuk: ""All vaccines are extensively tested before they are introduced, and this vaccine is no exception.""

Dr Mary Ramsay, head of…"
1354917548425420806,2021-01-28 22:21:31,"RT @DHSCgovuk: #COVID19 vaccinations are now being offered at more than 1,400 NHS sites including:

👩‍⚕️ Over 1,000 led by GPs
🏥 Over 250 h…"
1354907994274869250,2021-01-28 21:43:33,RT @beisgovuk: BREAKING NEWS 📣 @Novavax have published phase 3 trial data showing positive efficacy results for its promising #COVID19 vacc…
1354905667979640834,2021-01-28 21:34:18,"RT @DHSCgovuk: #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As of 28 Jan…"
1354904584397832197,2021-01-28 21:30:00,The UK recently announced the launch of the “New Variant Assessment Platform” to identify new variants of #COVID19… https://t.co/TdYNvS5ggx
1354870609604444165,2021-01-28 19:15:00,"""We are the frontline. It is important that we stay healthy.""

@DrAmirKhanGP has already had the #COVID19 vaccinati… https://t.co/UBOJ1miFn2"
1354859752480796681,2021-01-28 18:31:51,"RT @DHSCgovuk: The #COVID19 vaccine is free of charge on the NHS.

The NHS will NOT ask for:
❌ your bank account or card details
❌ your pin…"
1354859741193842690,2021-01-28 18:31:49,"RT @DHSCgovuk: ""I want to say a massive thank you from the bottom of my heart to everybody working in the NHS.""
 
@MattHancock visited Basi…"
1354859694536470535,2021-01-28 18:31:37,"RT @DHSCgovuk: Remember to wear a face covering to your #COVID19 vaccination appointment, unless you are exempt 😷
 
Find out more about wha…"
1354859660180910082,2021-01-28 18:31:29,"RT @DHSCgovuk: Latest results from one of the largest #COVID19 prevalence studies in England highlights:

▶️infections remain very high
▶️1…"
1354859286749302787,2021-01-28 18:30:00,"#COVID19 vaccinations are now being offered at more than 1,400 NHS sites including:

👩‍⚕️ Over 1,000 led by GPs
🏥 O… https://t.co/FbBst1Jchc"
1354828015436402692,2021-01-28 16:25:45,"Last night @MattHancock visited Basildon Hospital's vaccination centre, respiratory ward, and Critical Care and Eme… https://t.co/i8ynMurQ4t"
1354826104649867272,2021-01-28 16:18:09,"#COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.

As… https://t.co/w9YERRJz3s"
1354817763336810505,2021-01-28 15:45:00,"""All vaccines are extensively tested before they are introduced, and this vaccine is no exception.""

Dr Mary Ramsay… https://t.co/4JTW1oH6BH"
1354817314286313472,2021-01-28 15:43:13,"RT @DHSCgovuk: A range of venues are being used as #COVID19 vaccination sites, making it easier for vulnerable people to get the jab. 

Sev…"
1354808449993895946,2021-01-28 15:08:00,"RT @SomersetFT: Funding for our new £87million surgical centre at Musgrove Park has been given government approval this week.

The centre w…"
1354806448765636615,2021-01-28 15:00:03,"Employers across the country are signing up for rapid #COVID19 testing.

We recently ran a rapid #COVID19 testing p… https://t.co/gHcwITLidt"
1354793853870436353,2021-01-28 14:10:00,"""I want to say a massive thank you from the bottom of my heart to everybody working in the NHS.""
 
@MattHancock vis… https://t.co/QH3Zbhbjuk"
1354768687799037954,2021-01-28 12:30:00,"The #COVID19 vaccine is free of charge on the NHS.

The NHS will NOT ask for:
❌ your bank account or card details
❌… https://t.co/Jo4jEFCGkW"
1354768647135391747,2021-01-28 12:29:50,"RT @DHSCgovuk: ""We've just got to keep going a little bit longer and follow the rules.""
 
Hear from frontline staff and patients on what #C…"
1354766834654961664,2021-01-28 12:22:38,RT @beisgovuk: UK government investment is supporting 100 new scientist and technician jobs at the @valnevaSE vaccine facility in Scotland.…
1354765741850025987,2021-01-28 12:18:17,"RT @BBCTheOneShow: The Deputy Chief Medical Officer, Professor Jonathan Van-Tam joined us on tonight's show to help clear up some confusion…"
1354761975922884608,2021-01-28 12:03:19,RT @SalfordRoyalNHS: Building work will start next month on our new £68million hospital to support us in our role as the major trauma centr…
1354750820756152322,2021-01-28 11:19:00,"NHS Test and Trace statistics [since launch]

➡️ 20.3 million individuals tested at least once

➡️ 7,733,740  peopl… https://t.co/VUZZQLJWqC"
1354750793816174593,2021-01-28 11:18:53,RT @OfficialBWFC: 💉 The vaccination centre at the @UoBStadium has opened today as Bolton Wanderers plays a key role in helping the people o…
1354736129434660864,2021-01-28 10:20:37,"RT @NHSEngland: NHS staff will be delivering the #COVIDVaccine at a network of more than 1,400 vaccination sites when dozens more open thei…"
1354730945799020546,2021-01-28 10:00:01,"Remember to wear a face covering to your #COVID19 vaccination appointment, unless you are exempt 😷
 
Find out more… https://t.co/xdTmkDiX8F"
1354728257355198466,2021-01-28 09:49:20,RT @KellyIpsosMORI: NEW: Latest REACT study from @IpsosMORI and @ImperialCollege on behalf of @DHSCGovUK shows high prevalence and an R rat…
1354719614471704577,2021-01-28 09:15:00,"Latest results from one of the largest #COVID19 prevalence studies in England highlights:

▶️infections remain very… https://t.co/EfvhQ7YB2I"
1354708289871896576,2021-01-28 08:30:00,"A range of venues are being used as #COVID19 vaccination sites, making it easier for vulnerable people to get the j… https://t.co/KU4ihleELy"
1354703425372610560,2021-01-28 08:10:40,"RT @beisgovuk: BREAKING NEWS: @valnevaSE begins large-scale manufacturing of its #COVID19 vaccine in Livingston, Scotland.

Facility will p…"
1354559766371180546,2021-01-27 22:39:49,"RT @DHSCgovuk: #COVID19 vaccinations are now being offered at more than 1,300 NHS sites including:

👩‍⚕️ Over 1,000 led by GPs
🏥 Over 240 h…"
