tweet_id,created_at,text
1356316530238222338,2021-02-01 19:00:34,"RT @EUCouncilPress: .@EUCouncil updates recommendation on measures affecting #freemovement 

➡️ a dark red category is added to the weekly…"
1356310233476444161,2021-02-01 18:35:33,See the overview of the implementation of #COVID19 vaccination strategies and vaccine deployment plans in the EU/EE… https://t.co/I8dGfyGZi1
1356309683741589505,2021-02-01 18:33:22,"#JustPublished:
Overview of the implementation of #COVID19 vaccination strategies and vaccine deployment plans in t… https://t.co/bbJx7wlPZo"
1356306683346251776,2021-02-01 18:21:26,"@AndersAarkrogJ @sissel_kvist We are aware some of the countries have national tracking websites running, however M… https://t.co/IwluleCQv5"
1356305553979559941,2021-02-01 18:16:57,"@PriscillaLynch There was an issue with the data reported from #IE. We have been in touch with the authorities, and… https://t.co/gAbcJ0fTVJ"
1356304319298023428,2021-02-01 18:12:03,RT @FergalBowers: The European Centre for Disease Control (ECDC) has told @rtenews that there was an issue with the vaccination data report…
1356304004339421185,2021-02-01 18:10:48,"@newschambers There was an issue with the data reported from #IE. We have been in touch with them, and are in the p… https://t.co/XpFPaShAKm"
1356303714752090112,2021-02-01 18:09:39,"@MRJKilcoyne There was an issue with the data reported from #IE. We have been in touch with the authorities, and ar… https://t.co/6xcna6cSgZ"
1356303226958721024,2021-02-01 18:07:42,@ARegenauer @EU_Health @EU_Commission @EUCouncil @EMA_News @WHO_Europe @SKyriakidesEU @EUCouncilPress @EU_ECHA… https://t.co/4R7S7V3MjO
1356303089561702403,2021-02-01 18:07:10,@dsmooney @eurireland @HSELive @EU_Commission @EUCouncil @EU_Health @EMA_News @WHO_Europe @Eurosurveillanc… https://t.co/KWUvZU843i
1356301888636014595,2021-02-01 18:02:23,"@gloverstweets Hey Ashley! Completely understand your point.

The dashboard shows the data that have been officiall… https://t.co/8WHLnkVXaH"
1356300531824812032,2021-02-01 17:57:00,@MorgenrothEdgar Hey Edgar! We have not accumulated the data for Ireland with Northern Ireland. There was an issue… https://t.co/mQOzFCci5l
1356299729362157568,2021-02-01 17:53:48,@sissel_kvist @AndersAarkrogJ Hello! Our dashboard shows only the officially reported data via a specific channel b… https://t.co/tQbZw6OUx5
