tweet_id,created_at,text
1356239088190435328,2021-02-01 13:52:50,"RT @Europol: We're #UnitedAgainstCoronavirus.

But it seems criminals will do anything to exploit the pandemic:

😷fake PPE
💉fake vaccines
a…"
1356236286688956417,2021-02-01 13:41:43,"Sin lugar a duda, la protección de menores en internet es una responsabilidad compartida y por lo tanto expresamos… https://t.co/jQJ717QAzZ"
1356229639962824706,2021-02-01 13:15:18,@UNODC_Brussels @CCPCJ @UNODC @GhadaFathiWaly @EU_Partnerships @UNinBrussels @Ilias_Chatzis @YlvaJohansson… https://t.co/v5X9dUYGKd
1356183753744388096,2021-02-01 10:12:58,"🚨 French Navy stationed in Martinique intercepted a fishing 🚢 in international waters, hundreds of nautical miles o… https://t.co/Adt2TedQMC"
1355195248520134657,2021-01-29 16:45:00,📣Keen to learn good practices of promoting direct participation of #migrants &amp; #refugees in European media producti… https://t.co/5FrgpVZixJ
1355181381916237833,2021-01-29 15:49:54,@safeinternetday @UNICEF_EU @DIGITALEUROPE @UK_SIC @Webwise_Ireland @DSMeu @inea_eu Great to see the emoji in actio… https://t.co/M8xEfAVvPC
1355154140951957507,2021-01-29 14:01:39,Check out also our overall figures and other📊 on migration to the EU 👉 https://t.co/577hsv9Sm7 https://t.co/Ma9ME6UzLc
1355154137328050183,2021-01-29 14:01:38,🆕 Newly available EU data on asylum and irregular border crossings in the first 10 months of 2020 shows the impact… https://t.co/65padguBYw
1355105791968235520,2021-01-29 10:49:32,@IOMGREECE @govgr @migrationgovgr @EU_Commission @YlvaJohansson @MargSchinas @nmitarakis @EASO @UNHCRGreece… https://t.co/XFNGoqU545
1355086532181422081,2021-01-29 09:33:00,"RT @YlvaJohansson: My opening statement after a constructive #JHA @EUCouncil
My thanks to Minister Cabrita and his  @2021PortugalEU team…"
1354852709103513601,2021-01-28 18:03:52,🔴 Now LIVE also @2021PortugalEU 👇 https://t.co/5ChlVswnPv
1354848911496802316,2021-01-28 17:48:47,"RT @EU_Commission: The @ECDC_EU weekly map classifies regions based on the local epidemiological situation. ⚪🔴🟠🟢

See the latest version be…"
1354819810668941316,2021-01-28 15:53:08,📢Tune in today from 17h30 CET to watch Commissioner @YlvaJohansson &amp; Minister Cabrita @2021PortugalEU hosting a joi… https://t.co/NH4ovVTj7S
1354781958849572866,2021-01-28 13:22:44,"RT @EU_Commission: Last call to apply for an #EUtraineeship!

Don't miss the opportunity to join us for a 5-month paid internship, starting…"
1354781013063430148,2021-01-28 13:18:58,"Being #PrivacyAware is a great way 
to celebrate Data Protection Day! 👏

Find out more from our colleagues at… https://t.co/GP2yfNzLaH"
1354776193611018244,2021-01-28 12:59:49,"📢Commissioner @YlvaJohansson participated yesterday in timely discussions on #MigrationEU, at @EP_Justice followed… https://t.co/1nBgksNir8"
1354748486089121795,2021-01-28 11:09:43,This operation was carried out under the European Multidisciplinary Platform Against Criminal Threats 🇪🇺 Find out m… https://t.co/zOHhqUIpba
1354748479235629064,2021-01-28 11:09:42,Welcoming also the updates from @Eurojust on this major operation taking down #Emotet ⤵️ https://t.co/LAFXVGBnTe
1354484953870954497,2021-01-27 17:42:32,"Insightful discussion on #MigrationEU this evening at #EESCplenary with our Commissioner @YlvaJohansson , highlight… https://t.co/vFGaSirGLB"
1354478605460451334,2021-01-27 17:17:19,"RT @YlvaJohansson: After December’s European Court of Justice @EUCourtPress ruling demanding #Hungary stop #pushbacks into #Serbia, 
the su…"
