tweet_id,created_at,text
1356286239897432064,2021-02-01 17:00:12,"How do we improve the quality of care for #cardiovascular patients?

Our director general @SandraGallina will join… https://t.co/2Q1wZKU4VS"
1356256039579099139,2021-02-01 15:00:12,RT @SKyriakidesEU: The months ahead will be challenging. We must all continue working together in solidarity to find solutions and build tr…
1356255960281587714,2021-02-01 14:59:53,"RT @SKyriakidesEU: Speaking to 🇩🇪 regional leaders with Chancellor Merkel and pharma companies, I highlighted efforts we made to support th…"
1356225935993950215,2021-02-01 13:00:35,"RT @ECDC_EU: We have set up a monitoring system for collection of key #COVID19vaccine rollout indicators! 

See the interactive #COVID19 #V…"
1356225203475521536,2021-02-01 12:57:40,"RT @SKyriakidesEU: This afternoon, with @ThierryBreton I join the #COVID19 vaccines summit organised by 🇩🇪 Chancellor Merkel. It will be an…"
1356218691541741571,2021-02-01 12:31:48,@jduch @Europarl_EN @EP_Budgets @SandraGallina @EP_BeatCancer @EP_Environment Don't hesitate to follow our tweets f… https://t.co/el8QwlihKW
1356181447057543171,2021-02-01 10:03:48,"RT @vonderleyen: We are working with pharmaceutical companies to ensure vaccines are delivered to Europeans. 

#BioNTech/@pfizer will deliv…"
1355942924995981321,2021-01-31 18:16:00,RT @SKyriakidesEU: Encouraging news and a good step forward with @AstraZeneca.
1355942606853857281,2021-01-31 18:14:44,"RT @vonderleyen: Step forward on vaccines.

@AstraZeneca will deliver 9 million additional doses in the first quarter (40 million in total)…"
1355940327031500807,2021-01-31 18:05:40,"This week we will present the #EUCancerPlan as a strong part of the 🇪🇺#HealthUnion

Last year on #WorldCancerDay th… https://t.co/pWIg72gQ6i"
1355937521792913408,2021-01-31 17:54:31,"RT @EU_Commission: We’ll do it to see loved ones again. 
We’ll do it because we believe in science.
We’ll do it to protect people who are v…"
1355923987046555650,2021-01-31 17:00:45,#SafeVaccines #VaccinesWork https://t.co/U7X4FUuvn8
1355848238067277824,2021-01-31 11:59:45,"#WorldCancerDay is coming:

And just 1 day before, we publish the #EUCancerPlan 
– 
Listen to @SKyriakidesEU's repl… https://t.co/PX9HMCGsPt"
1355790619894034433,2021-01-31 08:10:47,RT @ansm: Le plan européen de lutte contre le cancer sera présenté le 3 février 2021 veille de la #JournéeMondialeContreLeCancer #WorldCanc…
1355644921294835713,2021-01-30 22:31:50,"RT @EU_Commission: One year ago, the World Health Organisation declared a public health emergency on COVID-19.

Our action in 12 highlights…"
1355633996932255744,2021-01-30 21:48:25,"RT @vonderleyen: Over the past year, we went through exceptional hardship. 

We also saw touching examples of European solidarity. 

We wil…"
1355580277494603777,2021-01-30 18:14:58,"RT @EU_Commission: Europe needs swift and coordinated action against the new variants of COVID-19.

We recommend EU countries to increase g…"
1355225490009808897,2021-01-29 18:45:10,RT @EU_Commission: We have granted a conditional marketing authorisation for the #COVID19 vaccine developed by AstraZeneca – the third vacc…
1355219073848778754,2021-01-29 18:19:40,"RT @vonderleyen: We have just authorised the @AstraZeneca vaccine on the EU market following a positive assessment by @EMA_News
 
I expect…"
1355218892977803266,2021-01-29 18:18:57,RT @SKyriakidesEU: The @AstraZeneca #COVID19 vaccine has been authorised by @EU_Commission. We will continue our efforts around the clock t…
1355217566122336262,2021-01-29 18:13:41,RT @EMA_News: Did you miss our press briefing on the Agency’s recommendation on the #COVID19vaccine AstraZeneca? You can watch it on EMA’s…
1355176931101171715,2021-01-29 15:32:13,RT @EMA_News: We are starting the press briefing on EMA’s recommendation of a conditional marketing authorisation in the EU for the #COVID1…
1355176813853630469,2021-01-29 15:31:45,RT @SKyriakidesEU: I welcome @EMA_News positive opinion on conditional marketing authorisation for @AstraZeneca vaccine. We stand ready to…
1355174115695538176,2021-01-29 15:21:01,RT @SKyriakidesEU: We want to continue finding solutions with our partners to deliver vaccines to citizens. But this approach is built on t…
1355171692025405441,2021-01-29 15:11:23,RT @EMA_News: 📢 EMA has just recommended granting a conditional marketing authorisation for the #COVID19vaccine AstraZeneca to prevent #COV…
1355169842375110657,2021-01-29 15:04:02,"RT @SKyriakidesEU: For months, @EU_Commission has invested to secure #COVID19 vaccines and support their production to bring doses to citiz…"
1355166411291815946,2021-01-29 14:50:24,RT @EU_Commission: ▶️ Watch the press conference by @VDombrovskis and @SKyriakidesEU on the vaccine export transparency scheme. #StrongerTo…
1355152471866400770,2021-01-29 13:55:01,"""This is about beating the disease that stold my childhood"" @VictorGirbu told us last year 

His vision for an… https://t.co/Jk2SDleilF"
1355149455490768896,2021-01-29 13:43:02,RT @EMA_News: ‼️ Update: EMA’s virtual press briefing to discuss the outcome of the evaluation of #COVID19 Vaccine AstraZeneca by EMA’s hum…
1355147915245871113,2021-01-29 13:36:55,"Cancer, as @StanPetrov19 told us last year, is a complicated word &amp; for some it can be a lonely experience

The… https://t.co/FF0k9rLKZ1"
1355137091118755845,2021-01-29 12:53:54,"RT @SKyriakidesEU: This afternoon I spoke with @G7 Health Ministers. As the UK takes over the G7 Presidency, we reiterated our commitment t…"
1355129816345944065,2021-01-29 12:24:59,RT @EU_Commission: Transparency is important to help build the trust of European citizens on the safety of the vaccines purchased at EU lev…
1355126951028154368,2021-01-29 12:13:36,"RT @SKyriakidesEU: Transparency and accountability are essential to build the people's trust in our vaccine strategy.

We just published th…"
1355121694751547395,2021-01-29 11:52:43,"RT @SKeersmaecker: Contract between Commission and AstraZeneca is now published. More info here: 

https://t.co/Lmk2fEVE3h"
1355105318372581376,2021-01-29 10:47:39,"RT @EUinDE: 1/ Präsidentin @vonderleyen heute im @DLF zu #Impfstoffe|n: ""Unser Gegner ist das Virus und die Pharmaunternehmen sind Teil der…"
1355105244334731267,2021-01-29 10:47:21,"RT @EUinDE: Wichtige Klarstellung vom @DLF zum Wortlaut von  @vonderleyen: „Best effort“ gilt, solange nicht klar war, ob sie einen Impfsto…"
1355098087572824065,2021-01-29 10:18:55,"RT @EC_AVService: 🔴LIVE 📅Today 🕒15:15

📢 Press conference by EVP @VDombrovskis and Commissioner @SKyriakidesEU on the #vaccine 💉 export tra…"
1355085513359839232,2021-01-29 09:28:57,RT @SKyriakidesEU: Speaking to @EU_Health Webinar on the Health Union ➡️ #COVID19 has affected us all on many levels. 🇪🇺 response shows tha…
1355079580021882880,2021-01-29 09:05:22,"RT @vonderleyen: We will only defeat #COVID19 when people around the world have access to vaccines. 

#COVAX is the best route to deliver l…"
1355079105482526726,2021-01-29 09:03:29,RT @EMA_News: Just published: The first safety update on a #COVID19vaccine is now available. It concludes that safety data collected on Com…
1355067448538652673,2021-01-29 08:17:10,"RT @WHO_Europe: How can vaccines help our bodies defend themselves against #disease-causing viruses or bacteria? 

Here’s a look at how #va…"
1355060140559499264,2021-01-29 07:48:07,"🔴LIVE 📅Today⏰10:15 CET

We are building a European Health Union for a stronger EU preparedness &amp; response for healt… https://t.co/R6zmj63B0K"
1354899336421924869,2021-01-28 21:09:09,"RT @DSMeu: How are online platforms fighting #covid19 #disinformation?🦠⛔

✔️ Directing users to trustworthy content
✔️ Removing false info…"
1354877904925175810,2021-01-28 19:43:59,"RT @ECDC_EU: Latest #COVID19 update (week 03/2021)

Global:
▪ 99 727 853 cases
▪ 2 137 670 deaths

EU/EEA:
▪ 18 849 065 cases
▪ 449 395 dea…"
1354877873363046401,2021-01-28 19:43:52,"RT @ECDC_EU: CORRECTION!

#JustPublished
Updated Vertical traffic light maps are online!

These maps aim to support the @EUCouncil  recomme…"
1354824670776680455,2021-01-28 16:12:27,"This week's @ECDC_EU map was just published.

🔴⚪🟠🟢 It classifies regions based on the local epidemiological situati… https://t.co/VO2GrRLQOU"
1354814304403378178,2021-01-28 15:31:16,"#SaveTheDate for Europe’s Beating Cancer Plan 

Publication just ahead of #WorldCancerDay with press conference fro… https://t.co/Qr7MrTJUkl"
1354763840949518337,2021-01-28 12:10:44,"#Coronavirus: Here is a 1st step towards a common approach to vaccination certificates.

The EU Member States, with… https://t.co/KKBpdJen5v"
1354747020729331715,2021-01-28 11:03:54,"RT @EU_Commission: ""I'll do it to ease pressure on healthcare.""

Dr. Miklós Szócska, Director of the Health Services Management Training Ce…"
1354747008284811265,2021-01-28 11:03:51,"RT @EU_Commission: ""I did it because this is the way.""

Prof. Uga Dumpis, Head of Department of Infectious Diseases and Infection Control,…"
1354746989221728256,2021-01-28 11:03:46,"RT @EU_Commission: ""I did it for a normal and healthy life for all of us.""

Prof. Alemka Markotic, Member of the National Civil Protection…"
1354746952953569282,2021-01-28 11:03:38,"RT @EU_Commission: ""I'll do it for a healthier future.""

Prof. Dr. Markus Müller, Rector of the Medical University of Vienna, Chief Coronav…"
1354448518845501442,2021-01-27 15:17:45,"RT @EU_Commission: ""I call on AstraZeneca to engage fully, to rebuild trust, to provide complete information and to live up to its contract…"
1354443965840371713,2021-01-27 14:59:40,"RT @SKyriakidesEU: We remain always open to engage with @AstraZeneca to resolve this in a spirit of collaboration and responsibility. 

▶️T…"
1354440858796519425,2021-01-27 14:47:19,"RT @SKyriakidesEU: Pharmaceutical companies and vaccine developers, have moral, societal and contractual responsibilities which they need t…"
1354439710886780931,2021-01-27 14:42:46,RT @SKyriakidesEU: The EU is united ➡️  @AstraZeneca needs to deliver on its commitments in our agreement. https://t.co/t6dbVxwGHG
1354438296705888257,2021-01-27 14:37:08,"RT @EU_Commission: ▶️ Watch the press conference by Commissioner @SKyriakidesEU
 
#StrongerTogether 

https://t.co/DwQT42qyKp"
1354436712890511363,2021-01-27 14:30:51,"RT @EC_AVService: 🔴 LIVE both on:
YouTube: https://t.co/0Yi5gPqVbB
EbS: https://t.co/cStT1lsHM0 https://t.co/wUeplR3QHu"
1354057918933561344,2021-01-26 13:25:39,"@GiulioMarini2 #COVID19vaccines in the EU will only be authorised when the evidence, before authorisation, shows th… https://t.co/yikI7tAJSG"
1353975263437139968,2021-01-26 07:57:13,"#SafeVaccines: Even after authorisation

▶ Companies are legally required to report side effects 
▶ EU &amp; national a… https://t.co/c1qeRW4hfK"
1353805947538464771,2021-01-25 20:44:25,"RT @SKyriakidesEU: With our Member States, we have requested from AZ a detailed planning of vaccine deliveries and when distribution will t…"
1353805892093960192,2021-01-25 20:44:11,RT @SKyriakidesEU: Discussions with @AstraZeneca today resulted in dissatisfaction with the lack of clarity and insufficient explanations.…
1353759752178835463,2021-01-25 17:40:51,"RT @EU_Commission: We want clarity on transactions and full transparency concerning the export of COVID-19 vaccines from the EU.

Full stat…"
1353747373139353606,2021-01-25 16:51:39,RT @SKyriakidesEU: In the future all companies producing vaccines against COVID19 in the EU will have to provide early notification wheneve…
1353746601060294656,2021-01-25 16:48:35,"RT @SKyriakidesEU: The EU wants to know exactly which doses have been produced where by @AstraZeneca so far, and if, or to whom, they have…"
1353745588928589827,2021-01-25 16:44:34,"RT @SKyriakidesEU: In addition, today we discussed with the 27 Member States in the Steering Board that an export transparency mechanism wi…"
1353744375268966400,2021-01-25 16:39:45,RT @EU_Commission: ▶️ Watch the press conference by Commissioner @SKyriakidesEU on vaccine deliveries and on the export transparency scheme…
1353740112782364673,2021-01-25 16:22:48,RT @EC_AVService: 📢 Press statement by Commissioner @SKyriakidesEU on vaccine deliveries and on the vaccine export transparency scheme #Saf…
1353738138204721152,2021-01-25 16:14:58,"RT @EUCYPRUS: 🎙️❗️MEDIA ADVISORY🎙️
Commissioner @SKyriakidesEU will give a press statement on vaccine deliveries and on the vaccine export…"
1353702369436069891,2021-01-25 13:52:50,"RT @SKyriakidesEU: Good to touch base again with @WHO_Europe Regional Director @hans_kluge. 

👉The #COVID19 situation in Europe is fragile.…"
1353689567921111040,2021-01-25 13:01:57,"RT @MamerEric: EC press briefing announcement on vaccine deliveries:
- Letter from Commissioner @SKyriakidesEU to #AstraZeneca 
- President…"
1353639336437309440,2021-01-25 09:42:21,The past twelve months have been difficult for many of us. But what have we learned to better prepare for a health… https://t.co/IQbA517Vv1
1353635914195603457,2021-01-25 09:28:45,@unzulaenglich @SKyriakidesEU Emanuel is one of many cancer patients and survivors that we have listened to during… https://t.co/nXiLtuyDl4
1353590675502215170,2021-01-25 06:29:00,"Emanuel Schipor was diagnosed with testicular cancer at the age of 17. 

He is one of 2.6 million each year in the… https://t.co/LXE5YL3tRv"
1352740172526473217,2021-01-22 22:09:24,RT @SKyriakidesEU: The @EU_Commission will continue to insist with @AstraZeneca on measures to increase predictability and stability of del…
1352651487176962048,2021-01-22 16:17:00,"Want to help wipe out non-communicable diseases?
 
Maybe there is a best practice you can share? Submit it to the E… https://t.co/mGF3bh0oB8"
1352563353336635393,2021-01-22 10:26:47,"@RuffinengoE You’re right Elisabeth, actions around prevention can also save lives: it’s one of the 4 key pillars w… https://t.co/Cv4q5ANhZ6"
