tweet_id,created_at,text
1356282202640834561,2021-02-01 16:44:10,Bulgarian authorities supported by Europol &amp; @SecretService took down counterfeiters marketing their forgeries with… https://t.co/mgxDzomBKZ
1356255377613086721,2021-02-01 14:57:34,"If you want to know more about how the Joint Parliamentary Scrutiny Group works, this video from @2021PortugalEU is… https://t.co/2dmRbvzUmW"
1356255333757444098,2021-02-01 14:57:24,"The Executive Director discussed:

📊 operational updates
🦠 how the COVID-19 pandemic has affected Europol’s work
📝l… https://t.co/QZJYStCWOy"
1356255331890900997,2021-02-01 14:57:23,"Today our Executive Director, Catherine De Bolle, presented what #Europol has been doing over the past five months… https://t.co/Ah636Xn83R"
1356198085135888385,2021-02-01 11:09:55,"We're #UnitedAgainstCoronavirus.

But it seems criminals will do anything to exploit the pandemic:

😷fake PPE
💉fake… https://t.co/KGwGMKI46C"
1356196659559075841,2021-02-01 11:04:15,"RT @EC3Europol: We are thrilled to have joined forces with @INCIBE to work on the European project #4NSEEK. 

Our common goal: to raise awa…"
1355069536983257091,2021-01-29 08:25:28,"Organised crime groups are fuelling a rise in violent crime in 🇪🇺

Our analysis shows there has been an increasing… https://t.co/CvO0snJfyK"
1354753729644388352,2021-01-28 11:30:33,💶 Half a million euros in fake banknotes won’t enter in circulation in the EU financial system. 🇷🇴 supported by Eur… https://t.co/mADmVVp1em
1354732177070706692,2021-01-28 10:04:55,@guardiacivil @mossos @andorra_policia and #Europol teamed up to dismantle an investment fraud company in foreign e… https://t.co/R3BL1iWDJ3
1354732174105317378,2021-01-28 10:04:54,6️⃣suspects arrested for allegedly scamming thousands of clients via a company specialised in #cryptocurrency inves… https://t.co/RsNDpCc4Zk
1354723907807440896,2021-01-28 09:32:03,RT @CEPS_thinktank: 🔴NOW LIVE/ Combating money laundering in the 🇪🇺 : time to get serious with @EeroHeinaluoma @RalucaPruna &amp; Burkhard Mühl…
1354716074487541760,2021-01-28 09:00:56,"It's #DataProtectionDay! 
As our Executive Director puts it:

'Our job is to catch the bad guys with the help of go… https://t.co/6LVmEubFgA"
1354398868310523908,2021-01-27 12:00:28,😨 But what made Emotet so dangerous? https://t.co/eSVng63Kxl
1354398863080222722,2021-01-27 12:00:27,🤔How did Emotet infect its unsuspecting victims? https://t.co/zx5ZBWql4j
1354398832759599104,2021-01-27 12:00:19,"Bye-bye botnets👋 Huge global operation brings down the world's most dangerous malware.

Investigators have taken co… https://t.co/WHP6dYnf94"
1354010836352847877,2021-01-26 10:18:34,"#ICYMI Commissioner @YlvaJohansson opened the #EUInternetForum yesterday.

'In five years, Europol referred 130 000… https://t.co/mvmYIBYW6H"
1353976038758486016,2021-01-26 08:00:17,Law enforcement from the 🇪🇺 and the 🌎 come to fight crime together at Europol... now with a new member! 🐕 😍 https://t.co/GW1QeDrjp4
1353711369024131074,2021-01-25 14:28:35,The Forum was launched in 2015 to address internet misuse by terrorist groups and now also addresses child sexual a… https://t.co/FQUkMbNx36
1353711367040200727,2021-01-25 14:28:35,"Today the #EUInternetForum brought together Commissioner @YlvaJohansson, national authorities, law enforcement, the… https://t.co/YXPGmEJc6l"
1353711365169569798,2021-01-25 14:28:34,"What is the EU Crisis Protocol?

Taking on terrorists means taking out the extreme, radicalising content they sprea… https://t.co/XXJ0Mcqq9Q"
1353711363198226435,2021-01-25 14:28:34,Our Executive Director presented Europol’s feedback on the EU Crisis Protocol – triggered for the first time in the… https://t.co/wOCp02hKiL
1353711361289842688,2021-01-25 14:28:33,"The #EUInternetForum meets once a year to track the progress of removing terrorist content online. This year, our E… https://t.co/C5pkH9vmlU"
1352548991548981251,2021-01-22 09:29:43,Great news from @PoliceNationale who worked with @policia to arrest their #EUMostWanted fugitive! It’s just one exa… https://t.co/F2GGfWVVdV
1352181526969131008,2021-01-21 09:09:33,We’re delighted to start working with @EUProsecutor today! Our Executive Director and the European Chief Prosecutor… https://t.co/ewccuBlW7K
1351923107884388352,2021-01-20 16:02:41,"@guardiacivil, supported by #Europol, took down a criminal gang linked to South American cartels. The network was s… https://t.co/ItqkidQXa9"
1351909674333970432,2021-01-20 15:09:18,"Catherine De Bolle, our Executive Director and @Maria2Gamez, Director General @guardiacivil are committed to enhanc… https://t.co/bz4L3MDOZs"
1351860790610042883,2021-01-20 11:55:03,"@Gendarmerie, supported by Europol, arrest 14 for sexual exploitation of children online. 

The alleged suspects us… https://t.co/j9X8zN4F29"
1351854509308436480,2021-01-20 11:30:05,"☎️ ‘Help me aunty, I'm in trouble!’: Imposters target the most vulnerable. Europol supported police authorities in… https://t.co/31JAV2u70J"
1351849015902674948,2021-01-20 11:08:16,"RT @_AIDAProject_: ⌛️You're still in time to participate in our survey!

Do you think #police should use #AI to predict #crime? Are you con…"
1351848602117791747,2021-01-20 11:06:37,"📍 As host city for our headquarters, Europol holds strong ties with @CityOfTheHague

https://t.co/JK9PSRy6jf"
1351848599253102592,2021-01-20 11:06:36,"Today our Executive Director, Catherine De Bolle welcomed the @CityOfTheHague's new Mayor, Jan van Zanen. 

On the… https://t.co/zqJZSNBvNm"
1349013280447197185,2021-01-12 15:20:04,"Returning foreign fighter arrested in Barcelona by @policia, supported by #Europol. 

The suspect was active in the… https://t.co/88P1UZG9wl"
1348997502104702977,2021-01-12 14:17:22,DarkMarket: world's largest illegal dark web marketplace has been taken offline in an international operation invol… https://t.co/lv3s7wJtYA
1348570845283758081,2021-01-11 10:01:59,Information sharing made easy: #Europol and @Frontex to exchange liaison officers in 2021. The Frontex officer will… https://t.co/7q7RsTNR6x
1346026132869668864,2021-01-04 09:30:12,"💃 New year, new you? 🕺

Make your New Year's resolution a reality and come and join us at Europol. 

From analysts… https://t.co/r4ucCPrTDu"
1344916499765596160,2021-01-01 08:00:55,"Happy New Year from #Europol 🎉

We're ready to keep Europe safe for another year from our headquarters in The Hague. https://t.co/RMy0p6hKzq"
