tweet_id,created_at,text
1355164351943073793,2021-01-29 14:42:13,Frontex has agreed with the Spanish authorities to continue its operations to support Spain at its external borders… https://t.co/fvAoiPma7P
1355122561215045635,2021-01-29 11:56:10,"Starting this week, #Frontex is deploying its first Standing Corps Return Team to support return activities at Ital… https://t.co/64yeOXpiST"
1354716650700906499,2021-01-28 09:03:13,"RT @EU_Commission: Facilitating data flows.
Protecting privacy.

In Europe, they go hand in hand. Your personal data belongs to you.

Stron…"
1354419812806623236,2021-01-27 13:23:41,"Today it's a briefing for new officers. And tomorrow, for the first time, more than 20 Frontex border guards will b… https://t.co/YMq1zIED2Z"
1354407370923896834,2021-01-27 12:34:15,"Last year, 114 officers from @GNRepublicana took part in our operations at Europe's borders. Obrigado! https://t.co/zS5NPIZMgO"
1354101370207563776,2021-01-26 16:18:19,Another 130 Frontex officers have graduated from their basic training programme and are ready to take up their post… https://t.co/2NqgexMEKy
1352329273550503938,2021-01-21 18:56:38,Frontex Director: I thank the representatives from national authorities and European Commission who worked to prepa… https://t.co/US4ckVd8sT
1352329272027963392,2021-01-21 18:56:38,Frontex Director: Frontex is closely cooperating with the Working Group and providing all the additional elements n… https://t.co/UK3SqlM70y
1352329270488666112,2021-01-21 18:56:37,Frontex Director: I am pleased that so far the Working Group did not find evidence of any Frontex involvement in al… https://t.co/aKFfQFbvtl
1352329268995489794,2021-01-21 18:56:37,Frontex Executive Director Fabrice Leggeri: I welcome the report by the Management Board’s Working Group and its re… https://t.co/qwnS19cvjR
1351811088543870976,2021-01-20 08:37:33,We now have 26 officers working on the Canary Islands to help 🇪🇸 Spain register and screen arriving irregular migra… https://t.co/3s25HnesFs
1351135941365280772,2021-01-18 11:54:45,"Rain, snow or shine, #Frontex officers are there to support. 📷Frontex patrol in Albania 🇦🇱 https://t.co/T80uZCXMSV"
1351098025503039489,2021-01-18 09:24:06,#Frontex and @EUNAVFOR_MED have agreed to expand their cooperation to address challenges and threats to #EU securit… https://t.co/g9Na41Byqj
1350472817708576770,2021-01-16 15:59:44,RT @EU_CEPOL: 👮👮‍♀️ You still have time to register for 🎧💻 #CEPOLWebinar: FRONTEX Handbook on detection of firearms for border guard &amp; cust…
1350367185953120256,2021-01-16 09:00:00,"They joined to make EU’s borders more secure, to make a difference, to learn new skills and be among the first offi… https://t.co/0ebYOPZ3HG"
1349686525848657921,2021-01-14 11:55:18,"Our #StandingCorps officers, the EU’s first uniformed service, are starting to work at our external borders. What a… https://t.co/V4J8guhkcW"
1349676968879513601,2021-01-14 11:17:19,"This year, #Frontex is chairing the #JHA agencies network.  
We will focus on #digitalisation and #EUGreenDeal and… https://t.co/yAvZPAQEJy"
1348917005202681856,2021-01-12 08:57:30,We have reached 40 000 followers! Thank you for being part of our online community. Join us on Facebook and LinkedI… https://t.co/7TIqzYV2yM
1348653085422460929,2021-01-11 15:28:46,"For the first time, the European Union has its own uniformed service – the European Border and Coast Guard standing… https://t.co/VyRcVNHX1Z"
