tweet_id,created_at,text
1356258468689272834,2021-02-01 15:09:51,"If you think you need A&amp;E, think 111 first. They will help you right away. And if you need urgent care, we’ll book… https://t.co/9MlNcGLtUt"
1356252757909528579,2021-02-01 14:47:10,@dom150869 (2/2) The Government has  accepted the recommendation from the independent Medicines and Healthcare prod… https://t.co/cdGgYV31jv
1356252695171129345,2021-02-01 14:46:55,@dom150869 (1/2) Hi Dom - All COVID-19 vaccines have followed the same rigorous safety tests as over 600 clinical t… https://t.co/X3SRtbdyxh
1356223695304462336,2021-02-01 12:51:41,@captaintommoore 💙
1356213040564346882,2021-02-01 12:09:20,"This workout focuses on toning and strengthening the leg muscles, particularly the inside and outside of the thighs… https://t.co/wXLY1Mp0dJ"
1356196514658471936,2021-02-01 11:03:40,"RT @PHE_uk: Today is the start of #nationalHIVtestingweek.

Testing is absolutely free and can be done at home. 

Go to https://t.co/7hHB8I…"
1356188523230068742,2021-02-01 10:31:55,"@Jo_Milne Hello Jo. In the UK, a vaccine is tested through three clinical trials before being rolled out as a vacci… https://t.co/FbxXzFVwLX"
1356186653124153345,2021-02-01 10:24:29,"It's #ChildrensMentalHealthWeek.

Some children and young people may like being off school, while others will be re… https://t.co/zV6q6EATJ4"
1356013963515994117,2021-01-31 22:58:17,@in_customer @NHSBeeky Hello there - Vaccination is the most important thing we can do to protect against ill healt… https://t.co/Hv763VsDBY
1356012120765247488,2021-01-31 22:50:57,@Jo_Milne Hi Jo - Vaccination is the most important thing we can do to protect against ill health. It's much safer… https://t.co/0YTIZHz5wV
1356011098244337667,2021-01-31 22:46:53,"@Szy_Sefton Hi there - All three vaccines have been approved for use,  and they are classed as highly effective."
1356010116164812810,2021-01-31 22:42:59,"@oldbid45 All three  vaccines have been approved for use,  and they are classed as highly effective."
1356008874868940800,2021-01-31 22:38:03,"@poodgiepooh All three  vaccines have been approved for use,  and they are classed as highly effective."
1355967134019543042,2021-01-31 19:52:12,"@Hurstcottage Hi Susan - Hope you’re ok. Remember, talking to people can help - and the Every Mind Matters website… https://t.co/RCOg2yBxW2"
1355951733134958597,2021-01-31 18:51:00,"Keeping a daily routine, tackling unhelpful thoughts and getting a good sleep can help you to feel calmer whilst yo… https://t.co/2Jr1lCkO4M"
1355863405933035524,2021-01-31 13:00:01,"If you've had the COVID-19 vaccine, it's vital that you continue to follow social distancing guidance.

Read the la… https://t.co/DW4kgiJsvx"
1355833203181948929,2021-01-31 11:00:00,"Dealing with stress, feeling low, worrying too much or not sleeping as well? There are simple steps you can take to… https://t.co/WcvtFPOxYw"
1355757404135301122,2021-01-31 05:58:48,@CurveBallsLife 3/3 The NHS funds NHS and third sector (charity) providers for many mental health services. The Lon… https://t.co/NKROUAAOCW
1355757234043629568,2021-01-31 05:58:08,"@CurveBallsLife 2/3 If you had difficulties accessing your local IAPT service, We would recommend contacting your l… https://t.co/DNkyMWUiAx"
1355757192524275714,2021-01-31 05:57:58,@CurveBallsLife 1/3 Thank you for getting in touch. We are working hard to expand access to mental health services… https://t.co/tD1MuGe6Bo
1355755637880332293,2021-01-31 05:51:47,"@purple_grackle 2/2 If you had difficulties accessing your local IAPT service, We would recommend contacting your l… https://t.co/p6C3OzlV0P"
1355755570775662595,2021-01-31 05:51:31,@purple_grackle 1/2 Thank you for getting in touch. We are working hard to expand access to mental health services… https://t.co/9YVAjkBiuV
1355650268751392772,2021-01-30 22:53:05,@annaberu Laws and regulatory agencies worldwide currently require that all medicines are tested on animals before… https://t.co/1xl2MhvdZM
1355643883007451138,2021-01-30 22:27:43,"@Emilinehope Hi Emi - All three  vaccines have been approved for use,  and they are classed as highly effective."
1355643624680255491,2021-01-30 22:26:41,"@Jimlibob Hi James - All three  vaccines have been approved for use,  and they are classed as highly effective."
1355618825027411968,2021-01-30 20:48:08,"@Ashlomas83 (4/4) The data looked at includes all the results from lab studies, clinical trials, manufacturing and… https://t.co/2NdbPROiDp"
1355618703392595974,2021-01-30 20:47:39,"@Ashlomas83 (3/4) Right through the tests and the trials, teams of scientists and clinicians carefully, methodicall… https://t.co/lZlDocZ7uN"
1355618665270542338,2021-01-30 20:47:30,"@Ashlomas83 (2/4) The COVID-19 vaccines were only approved once they met robust standards of effectiveness, safety and quality."
1355618524597792772,2021-01-30 20:46:57,@Ashlomas83 (1/4) The safety of the public will always come first. The Medicines and Healthcare products Regulatory… https://t.co/sGZEhNIDWN
1355618034484977667,2021-01-30 20:45:00,"Symptoms of a heart attack can include heavy or tight chest pain that may spread to your arms, neck or jaw, or make… https://t.co/CjXusnLV8i"
1355612116770816005,2021-01-30 20:21:29,@Suzieq1402 @Ritchiejamesw Hi there - Read more about the ingredients of the COVID-19 vaccines: https://t.co/CBC8Ru9r2l
1355546315804053505,2021-01-30 16:00:01,We've all been adapting to lots of change and uncertainty and it's important not to lose sight of the achievements… https://t.co/1YUEHcjxxJ
1355531217005813760,2021-01-30 15:00:01,"Better mental health helps us at work, at home and in the way we feel about ourselves. 

Visit #EveryMindMatters an… https://t.co/TSTUhkIzJ2"
1355464467228856320,2021-01-30 10:34:46,@lindsay14769520 (3/3) effectiveness and quality as soon as they become available. The data looked at includes all… https://t.co/doYzVRzDe3
1355464018962636803,2021-01-30 10:33:00,"@lindsay14769520 (2/3) The COVID-19 vaccines were only approved once they met robust standards of effectiveness, sa… https://t.co/PIgYu7K9UU"
1355463876364611584,2021-01-30 10:32:26,@lindsay14769520 (1/3) Hello Lindsay. The safety of the public will always come first. The Medicines and Healthcare… https://t.co/ro5Jr3R9mB
1355455717482913792,2021-01-30 10:00:00,"Taking care of your mind is really important when you are staying at home. 

Visit the #EveryMindMatters coronaviru… https://t.co/z9pFHtb56N"
1355421740978077696,2021-01-30 07:45:00,"Development of the COVID-19 vaccine has been underway since early 2020, as soon as virus began spreading. Knowledge… https://t.co/WYcTKVckH8"
1355163991878807552,2021-01-29 14:40:48,"This workout focuses on arm-strengthening exercises, specifically your biceps and triceps. 💪

Keep an eye on our Yo… https://t.co/7k4RKkZkCY"
1355150940098228225,2021-01-29 13:48:56,"The NHS will contact you when it's your turn to have the coronavirus (COVID-19) vaccination.

When it's your turn,… https://t.co/HKNb3oDp6U"
1355101883774480386,2021-01-29 10:34:00,@lizhon70 @TheRustler83 (3/3) The NHS is delivering the COVID-19 the  vaccination programme with vaccines  that hav… https://t.co/52OXab7Ngk
1355101820247543810,2021-01-29 10:33:45,@lizhon70 @TheRustler83 (2/3) COVID-19 vaccines have been developed in a coordinated way that allows some stages of… https://t.co/TqoVSOGZHE
1355101734025240576,2021-01-29 10:33:24,"@lizhon70 @TheRustler83 (1/3) Hello. Vaccine development has been underway since early last year, as soon as the vi… https://t.co/CaAjiaHwZp"
1355094067110178816,2021-01-29 10:02:56,Scammers are sending emails that invite users to input their bank details into a website to confirm their COVID-19… https://t.co/bI1wcZXxwR
1354892385126383620,2021-01-28 20:41:31,"@DebDebabbble @NHS Sorry to hear that. You can report it to @actionfrauduk here

https://t.co/4baB1epTRV

Thank you."
1354826037276811271,2021-01-28 16:17:53,"@rhymingmisfit @BrentSantus 6/6 For people under 35, you can call Papyrus on 0800 068 41 41 – Monday to Friday 9am… https://t.co/1IdXhRMZZA"
1354825974387363841,2021-01-28 16:17:38,"@rhymingmisfit @BrentSantus 5/6 If you ever need to talk, Samaritans are also available to listen at any time of th… https://t.co/5FVV8Jfo75"
1354825920339578883,2021-01-28 16:17:25,"@rhymingmisfit @BrentSantus 4/6 to A&amp;E. Or ask someone else to call 999 or take you to A&amp;E.  If it is possible, get… https://t.co/szxt5dy7lK"
1354825714638307337,2021-01-28 16:16:36,"@rhymingmisfit @BrentSantus 3/6 give individual health advice, but we can point you in the direction of resources a… https://t.co/Xt7rUx8wmZ"
1354825538741760002,2021-01-28 16:15:54,"@rhymingmisfit @BrentSantus 2/6 important to tell someone. Whatever feelings or situation got you here, there are p… https://t.co/n0aKx0noPO"
1354825439747837955,2021-01-28 16:15:30,@rhymingmisfit @BrentSantus 1/6 Hi @rhymingmisfit. Please do not give up hope. You are clearly going through a diff… https://t.co/lIQM5w9eOC
1354825310982856705,2021-01-28 16:15:00,"Even if you've had the COVID-19 vaccine, it's important that you continue to follow national restrictions.

➡️ Cont… https://t.co/zsKDWuSpFV"
1354822794689859584,2021-01-28 16:05:00,Taking care of your mind is really important when you are staying at home. Visit the #EveryMindMatters coronavirus… https://t.co/RucIxyIKXJ
1354820969802604554,2021-01-28 15:57:45,"Development of the COVID-19 vaccine has been underway since early 2020, as soon as virus began spreading. Knowledge… https://t.co/6eDhfjUczO"
1354820458047148043,2021-01-28 15:55:43,"RT @DHSCgovuk: ""All vaccines are extensively tested before they are introduced, and this vaccine is no exception.""

Dr Mary Ramsay, head of…"
1354757271243386885,2021-01-28 11:44:38,@kebladas81 Hi Peter. We are working hard to expand access to mental health services as set out in the Mental Healt… https://t.co/bYfY8jTl8D
1354742125527773185,2021-01-28 10:44:27,"If you've had the COVID-19 vaccine, it's vital that you continue to follow social distancing guidance.

Read the la… https://t.co/3pibRhU636"
1354665176251965445,2021-01-28 05:38:41,@bimblebelle Hi Katrina. We are working hard to expand access to mental health services as set out in the Mental He… https://t.co/mZfXCEjhtw
1354578062248128515,2021-01-27 23:52:31,@BrentSantus Hi Brent. We are sorry you only received online counseling. You can find information about treatment o… https://t.co/vjefHEyR6i
1354463576954703877,2021-01-27 16:17:36,The COVID-19 vaccination programme will continue to ramp up in the weeks and months ahead and will be extended to m… https://t.co/Sb3hx7Dsi9
1354440875254943748,2021-01-27 14:47:23,"If you've had the COVID-19 vaccine, it's vital that you continue to follow social distancing guidance.

Read the la… https://t.co/eO0nXiWM0m"
1354406302781333510,2021-01-27 12:30:00,"Want to get active? You can track your progress, set yourself goals and get top tips for moving more with the Activ… https://t.co/KyDLivilKb"
1354397922750844930,2021-01-27 11:56:42,We've all been adapting to lots of change and uncertainty and it's important not to lose sight of the achievements… https://t.co/dKcK6vh9Cs
1354383661358063616,2021-01-27 11:00:02,"The COVID-19 vaccines work by teaching your immune system how to defend itself against attack from the virus. 

Rea… https://t.co/Cb4h0gbrR6"
1354382547359293441,2021-01-27 10:55:37,"RT @actionfrauduk: Remember, the vaccine is only available on the @NHSuk and is free of charge. 

If you receive an email, text message or…"
1354111862976114688,2021-01-26 17:00:00,Join the thousands of people in England choosing to improve their health with #BetterHealth. For free tools and sup… https://t.co/AkcDHUJHM2
