id;created_at;text
1,35626E+18;01/02/2021 15:09;"If you think you need A&amp;E, think 111 first. They will help you right away. And if you need urgent care, we’ll book… https://t.co/9MlNcGLtUt"
1,35625E+18;01/02/2021 14:47;@dom150869 (2/2) The Government has  accepted the recommendation from the independent Medicines and Healthcare prod… https://t.co/cdGgYV31jv
1,35625E+18;01/02/2021 14:46;@dom150869 (1/2) Hi Dom - All COVID-19 vaccines have followed the same rigorous safety tests as over 600 clinical t… https://t.co/X3SRtbdyxh
1,35622E+18;01/02/2021 12:51;@captaintommoore 💙
1,35621E+18;01/02/2021 12:09;This workout focuses on toning and strengthening the leg muscles, particularly the inside and outside of the thighs… https://t.co/wXLY1Mp0dJ
1,3562E+18;01/02/2021 11:03;"RT @PHE_uk: Today is the start of #nationalHIVtestingweek.

Testing is absolutely free and can be done at home. 

Go to https://t.co/7hHB8I…"
1,35619E+18;01/02/2021 10:31;@Jo_Milne Hello Jo. In the UK, a vaccine is tested through three clinical trials before being rolled out as a vacci… https://t.co/FbxXzFVwLX
1,35619E+18;01/02/2021 10:24;"It's #ChildrensMentalHealthWeek.

Some children and young people may like being off school, while others will be re… https://t.co/zV6q6EATJ4"
1,35601E+18;31/01/2021 22:58;@in_customer @NHSBeeky Hello there - Vaccination is the most important thing we can do to protect against ill healt… https://t.co/Hv763VsDBY
1,35601E+18;31/01/2021 22:50;@Jo_Milne Hi Jo - Vaccination is the most important thing we can do to protect against ill health. It's much safer… https://t.co/0YTIZHz5wV
1,35601E+18;31/01/2021 22:46;@Szy_Sefton Hi there - All three vaccines have been approved for use,  and they are classed as highly effective.
1,35601E+18;31/01/2021 22:42;@oldbid45 All three  vaccines have been approved for use,  and they are classed as highly effective.
1,35601E+18;31/01/2021 22:38;@poodgiepooh All three  vaccines have been approved for use,  and they are classed as highly effective.
1,35597E+18;31/01/2021 19:52;@Hurstcottage Hi Susan - Hope you’re ok. Remember, talking to people can help - and the Every Mind Matters website… https://t.co/RCOg2yBxW2
1,35595E+18;31/01/2021 18:51;Keeping a daily routine, tackling unhelpful thoughts and getting a good sleep can help you to feel calmer whilst yo… https://t.co/2Jr1lCkO4M
1,35586E+18;31/01/2021 13:00;"If you've had the COVID-19 vaccine, it's vital that you continue to follow social distancing guidance.

Read the la… https://t.co/DW4kgiJsvx"
1,35583E+18;31/01/2021 11:00;Dealing with stress, feeling low, worrying too much or not sleeping as well? There are simple steps you can take to… https://t.co/WcvtFPOxYw
1,35576E+18;31/01/2021 05:58;@CurveBallsLife 3/3 The NHS funds NHS and third sector (charity) providers for many mental health services. The Lon… https://t.co/NKROUAAOCW
1,35576E+18;31/01/2021 05:58;@CurveBallsLife 2/3 If you had difficulties accessing your local IAPT service, We would recommend contacting your l… https://t.co/DNkyMWUiAx
1,35576E+18;31/01/2021 05:57;@CurveBallsLife 1/3 Thank you for getting in touch. We are working hard to expand access to mental health services… https://t.co/tD1MuGe6Bo
1,35576E+18;31/01/2021 05:51;@purple_grackle 2/2 If you had difficulties accessing your local IAPT service, We would recommend contacting your l… https://t.co/p6C3OzlV0P
1,35576E+18;31/01/2021 05:51;@purple_grackle 1/2 Thank you for getting in touch. We are working hard to expand access to mental health services… https://t.co/9YVAjkBiuV
1,35565E+18;30/01/2021 22:53;@annaberu Laws and regulatory agencies worldwide currently require that all medicines are tested on animals before… https://t.co/1xl2MhvdZM
1,35564E+18;30/01/2021 22:27;@Emilinehope Hi Emi - All three  vaccines have been approved for use,  and they are classed as highly effective.
1,35564E+18;30/01/2021 22:26;@Jimlibob Hi James - All three  vaccines have been approved for use,  and they are classed as highly effective.
1,35562E+18;30/01/2021 20:48;@Ashlomas83 (4/4) The data looked at includes all the results from lab studies, clinical trials, manufacturing and… https://t.co/2NdbPROiDp
1,35562E+18;30/01/2021 20:47;@Ashlomas83 (3/4) Right through the tests and the trials, teams of scientists and clinicians carefully, methodicall… https://t.co/lZlDocZ7uN
1,35562E+18;30/01/2021 20:47;@Ashlomas83 (2/4) The COVID-19 vaccines were only approved once they met robust standards of effectiveness, safety and quality.
1,35562E+18;30/01/2021 20:46;@Ashlomas83 (1/4) The safety of the public will always come first. The Medicines and Healthcare products Regulatory… https://t.co/sGZEhNIDWN
1,35562E+18;30/01/2021 20:45;Symptoms of a heart attack can include heavy or tight chest pain that may spread to your arms, neck or jaw, or make… https://t.co/CjXusnLV8i
1,35561E+18;30/01/2021 20:21;@Suzieq1402 @Ritchiejamesw Hi there - Read more about the ingredients of the COVID-19 vaccines: https://t.co/CBC8Ru9r2l
1,35555E+18;30/01/2021 16:00;We've all been adapting to lots of change and uncertainty and it's important not to lose sight of the achievements… https://t.co/1YUEHcjxxJ
1,35553E+18;30/01/2021 15:00;"Better mental health helps us at work, at home and in the way we feel about ourselves. 

Visit #EveryMindMatters an… https://t.co/TSTUhkIzJ2"
1,35546E+18;30/01/2021 10:34;@lindsay14769520 (3/3) effectiveness and quality as soon as they become available. The data looked at includes all… https://t.co/doYzVRzDe3
1,35546E+18;30/01/2021 10:33;@lindsay14769520 (2/3) The COVID-19 vaccines were only approved once they met robust standards of effectiveness, sa… https://t.co/PIgYu7K9UU
1,35546E+18;30/01/2021 10:32;@lindsay14769520 (1/3) Hello Lindsay. The safety of the public will always come first. The Medicines and Healthcare… https://t.co/ro5Jr3R9mB
1,35546E+18;30/01/2021 10:00;"Taking care of your mind is really important when you are staying at home. 

Visit the #EveryMindMatters coronaviru… https://t.co/z9pFHtb56N"
1,35542E+18;30/01/2021 07:45;Development of the COVID-19 vaccine has been underway since early 2020, as soon as virus began spreading. Knowledge… https://t.co/WYcTKVckH8
1,35516E+18;29/01/2021 14:40;"This workout focuses on arm-strengthening exercises, specifically your biceps and triceps. 💪

Keep an eye on our Yo… https://t.co/7k4RKkZkCY"
