tweet_id,created_at,text
1358739455167897602,2021-02-08 11:28:24,"📅 This week kicks off another #EPlenary session. Join us here on #Periscope tomorrow morning, where @IratxeGarper w… https://t.co/E4aYHGGIOE"
1358357077383647247,2021-02-07 10:08:58,"Today, on the Day of Solidarity with Belarus, we express our admiration and support for the brave people of Belarus… https://t.co/8kxiURpCrc"
1357953422843068417,2021-02-06 07:25:00,"Every girl, in every house, in every country - must be protected from Female Genital Mutilation

Over 200 million w… https://t.co/BT0KZ7811R"
1357700306788827143,2021-02-05 14:39:12,"A new week. A new #EPlenary 👇

💉 EU’s #vaccination strategy
💶 Recovery and Resilience Fund
🚫 Abortion ban in… https://t.co/7r835k6hqD"
1357645757298462721,2021-02-05 11:02:27,"The rule should be fair and clear: polluters must pay! With the Carbon Border Adjustment Mechanisms (CBAM), approve… https://t.co/SsOZImRj16"
1357619590407348225,2021-02-05 09:18:28,"The EU-UK agreement is not the end of the road for our relations. 

It is not a marriage, but the terms of a divorc… https://t.co/9byAlMl06H"
1357619385842679808,2021-02-05 09:17:39,"After comprehensive and thorough scrutiny by MEPs, @KatiPiri recommends the European Parliament give its consent to… https://t.co/5ETATCtPZE"
1357375820206063619,2021-02-04 17:09:49,👉@Frontex must be accountable! @EP_Justice’s Frontex Scrutiny Working Group will investigate the serious violations… https://t.co/0nBKtqFYpz
1357331048867254273,2021-02-04 14:11:54,"Strong ties continue to bind the people of EU and UK. Dialogue across the Channel must continue. 

We welcome… https://t.co/WyDL10JFQF"
1357330955166486531,2021-02-04 14:11:32,"We will not consent to this agreement with no strings attached, says @KatiPiri 
In the coming weeks, through a plen… https://t.co/5Hy6WqNsMa"
1357315287440367624,2021-02-04 13:09:16,"We share many aims, values and interests. Collective challenges need collective action. We must work towards a stro… https://t.co/Q3abIydV3V"
1357311499228893184,2021-02-04 12:54:13,"A comprehensive scrutiny of every detail in the EU-UK agreement is of utmost importance for us.
Today in @EP_Trade… https://t.co/g4C10ebasC"
1357283547455832065,2021-02-04 11:03:09,RT @IratxeGarper: 💉🇪🇺Today the @Europarl_EN Conference of Presidents agreed on my proposal to have a hearing with pharma CEOs in one of our…
1357271769888010240,2021-02-04 10:16:21,RT @IratxeGarper: On #WorldCancerDay my thoughts are with all those people who fight every day against this disease and all the professiona…
1356972587784544257,2021-02-03 14:27:30,"We support the @EU_Commission’s #EUCancerPlan, but it needs more ambition! Read the response of @ale_moretti and… https://t.co/nAK4M2kvtz"
1356691864297107460,2021-02-02 19:52:01,RT @IratxeGarper: The ruling on Alexey Navalny is contrary to the verdict of the ECHR. It breaches Russia’s international obligations on de…
1356686946018467842,2021-02-02 19:32:28,"#Navalny‘s return to Russia was an act of bravoury. His poisoning, arrest and sentencing are acts of a lawless regi… https://t.co/XuQcSOkmcC"
1356664341496496128,2021-02-02 18:02:39,We asked @vonderleyen to participate in an #EPlenary session next week so that we can ensure accountability and tra… https://t.co/iSglV74Wxn
1356642491974443014,2021-02-02 16:35:49,3⃣ The @EU_Commission should study legal formulas so that companies not holding the patent of the approved vaccines… https://t.co/nxIwMc23aV
1356642490544234497,2021-02-02 16:35:49,2⃣ We want @EU_Commission to ensure increased production capacity of the vaccines that have already been approved.… https://t.co/sWQOcEBv1B
1356642489227165702,2021-02-02 16:35:49,1⃣ MEPs working on the EU Vaccination Strategy should be allowed to see the full text of the contracts with the pha… https://t.co/5HO1vBMXzK
1356642487285276673,2021-02-02 16:35:48,"💉 Getting Europeans vaccinated = Our top priority

This evening President @vonderleyen is with us in our Group to d… https://t.co/F0W3Rilba0"
1356596265736364038,2021-02-02 13:32:08,"RT @IratxeGarper: 🇪🇺💉I just had a good talk with @vonderleyen on the #CovidVaccinationStrategy. 

In @theProgressives group meeting at 17h,…"
1356559145797906433,2021-02-02 11:04:38,🌳 Consumers can play a crucial role in making the green transition happen. We are all strong when we fight together… https://t.co/9zkrSNm5pc
1356559136054468609,2021-02-02 11:04:36,"🔧""For us, banning #PrematureObsolescence, enhancing repairability are key aspects for the future consumer agenda"".… https://t.co/m4m8LRkYoD"
1356305356499152896,2021-02-01 18:16:10,"Europe cannot stand idle and watch these continued violations of human and fundamental rights.
Europe must now act… https://t.co/hnlOBzUePW"
1356305090974507011,2021-02-01 18:15:07,"RT @IratxeGarper: 🇪🇺💉The #EU paid billions to pharma companies to speed up research and ensure supply.

I will request that those companies…"
1356304928805965825,2021-02-01 18:14:28,"Initially they were blocked by the Croatian police on the border with Bosnia, preventing them from exercising their… https://t.co/sFOZJQ1IgC"
1356304478287310849,2021-02-01 18:12:41,"Last weekend our @brandobenifei @bartolopietro1, @ale_moretti and @pfmajorino witnessed the appalling situation on… https://t.co/dvdPGLk1Mj"
1356289734092451845,2021-02-01 17:14:05,€3 billion of taxpayers' money went to finance the accelerated vaccine research investments of pharmaceutical compa… https://t.co/oPoVXXjeT5
1356283831280676874,2021-02-01 16:50:38,@DaveClark_AFP @vonderleyen Oops. Thank you. The meeting with President Von der Leyen will take place tomorrow at 5 pm
1356279681402736640,2021-02-01 16:34:09,🇪🇺 We’re pleased to have President @vonderleyen with us tomorrow to discuss about the EU COVID19 vaccines strategy.… https://t.co/O1FuC320XT
