tweet_id,created_at,text
1356347601092829186,2021-02-01 21:04:02,"🔑 SCORE report 📊 finding:
🔸 only 7⃣2⃣% of births 👶 are registered around the 🌎🌍🌏
🔸 nearly 4⃣0⃣% of the world’s deat… https://t.co/kC7TQH58Os"
1356342714829303811,2021-02-01 20:44:37,"RT @DrTedros: Thank you @FIFAcom, my friend Gianni and @themichaelowen for teaming up with health partners around the world to promote the…"
1356342699570376704,2021-02-01 20:44:33,"RT @DrTedros: Honoured to be joined by two of the biggest names in world football: Gianni Infantino, @FIFAcom President &amp; @themichaelowen,…"
1356341760356724741,2021-02-01 20:40:49,"🔑 SCORE report 📊 finding:
🔸 almost 6⃣0⃣% of countries🌎🌍🌏 have good capacity for using data and evidence to drive po… https://t.co/gX6SMVpDt6"
1356336547608592385,2021-02-01 20:20:07,"🔑 SCORE report 📊 finding:
8⃣6⃣% of countries 🌎🌍🌏 conducted a population census in the last 10 years, however but on… https://t.co/sjjvYJS26z"
1356325376016969733,2021-02-01 19:35:43,🆕 guidelines on management of chronic pain in children highlights the importance of opioid stewardship to address 🌏… https://t.co/5HB5Bbr1kT
1356320182889754627,2021-02-01 19:15:05,"🆕 recommendations for pain relief in children include 3 areas of interventions: 
1️⃣ physical therapy 
2️⃣ psycholo… https://t.co/eN2oSjIZHQ"
1356317228795375625,2021-02-01 19:03:21,RT @DrTedros: The development and approval of safe and effective vaccines less than a year after the emergence of a new virus is providing…
1356314764008443904,2021-02-01 18:53:33,"Children and adolescents have the right to high-quality treatments to manage their pain.
 
Care for children with c… https://t.co/XnZDCFpemW"
1356308888413491202,2021-02-01 18:30:12,"Without access to pain management, the quality of life for children &amp; adolescents with chronic pain is severely imp… https://t.co/S1amU9baZE"
1356307148733616136,2021-02-01 18:23:17,"RT @DrTedros: Thanks for a good call Commissioner @JuttaUrpilainen, on the #COVID19 epidemiological situation in Europe, vaccines distribut…"
1356307130421284867,2021-02-01 18:23:13,"RT @DrTedros: Encouraging news: for the 3rd week in a row, the number of new #COVID19 cases reported globally fell. This trend shows we can…"
1356303260647387136,2021-02-01 18:07:50,"🔑 SCORE report 📊 finding:
Globally 6⃣8⃣% of countries have well-developed and sustainable capacity for public healt… https://t.co/5cnz4UOBgS"
1356298369212289029,2021-02-01 17:48:24,"🆕 guidelines released on the management of chronic pain in children 👦👧, which is a significant public health proble… https://t.co/YaEjqDZC9Q"
1356291389877854217,2021-02-01 17:20:40,"The 🆕 SCORE 🌐 global report on health data systems &amp; capacity, 2020 shows that countries cannot adequately prepare… https://t.co/W1tFMGsu5N"
1356286034787643393,2021-02-01 16:59:23,"The full remarks by @DrTedros at the #COVID19 media briefing - 1 February 2021 👇 #ACTogether 
https://t.co/9hVdT04Drb"
