tweet_id,created_at,text
1356229821496504321,2021-02-01 13:16:01,👨‍⚕️ Only take antibiotics that you’ve been prescribed. Self-medicating can increase the risk of… https://t.co/F4cNrxu6vj
1356198110284951554,2021-02-01 11:10:01,"What goes into a #vaccine? 🦠💉

Did you know that there are systems to monitor the safety and effectiveness of… https://t.co/0ZXHt0FJW7"
1356190026623803392,2021-02-01 10:37:53,"Save the date! 📅🕙10am CET, 04/02

On #WorldCancerDay WHO/Europe launches United Action Against Cancer - a pan-Europ… https://t.co/0pqiMcwnC6"
1356165454025420800,2021-02-01 09:00:15,"Everyone, everywhere who could benefit from safe, effective #COVID19 #vaccines should have access as quickly as pos… https://t.co/RH7N43nha5"
1355179472048300034,2021-01-29 15:42:18,RT @WHO: Media briefing on #COVID19 with @DrTedros https://t.co/NQ9MVvMoBn
1355162657045803008,2021-01-29 14:35:29,"RT @EU_Health: #SaveTheDate for Europe’s Beating Cancer Plan 

Publication just ahead of #WorldCancerDay with press conference from @MargSc…"
1355124796351275010,2021-01-29 12:05:03,"This #CervicalCancer Awareness Month, join the global effort to eliminate cervical cancer with screening &amp; vaccinat… https://t.co/hQxwxVdVzB"
1355095846556209152,2021-01-29 10:10:00,"How can #COVID19 vaccines be developed quickly and still be safe? 

Read more about 🦠💉 research and development 👇  https://t.co/AOK1t4W3C4"
1355092968378662912,2021-01-29 09:58:34,"RT @WHO: We can outsmart the #COVID19 virus and the variants too. Let's outmanoeuvre it, let's not give it an opportunity to infect others.…"
1355082555003973632,2021-01-29 09:17:11,"RT @OBShealth: Gastein edition of #Eurohealth out now!

Lessons, highlights and reflections from Gastein 2020 – digitalisation, data sharin…"
1355066906814935041,2021-01-29 08:15:01,"How can vaccines help our bodies defend themselves against #disease-causing viruses or bacteria? 

Here’s a look at… https://t.co/QVyvyJb6So"
1354817791895846919,2021-01-28 15:45:07,Early diagnosis with #screening is an important part of protecting more women from #CervicalCancer https://t.co/QHO9wJlCXC
1354801515383279622,2021-01-28 14:40:26,"RT @EUinGeorgia: 🇪🇺EU &amp; @WHO has supported Georgia’s frontline workers throughout COVID19 pandemic. 
🚑See how emergency ambulance crews all…"
1354783972597719043,2021-01-28 13:30:44,"RT @hans_kluge: The pandemic paradox: hope &amp; hardship

✅25 million vaccine doses have been administered in 35 countries in the Region, but…"
1354777256607023104,2021-01-28 13:04:03,"It's nearly the last chance to submit an entry to the #HealthForAll film festival. 

Interested? Find out more and… https://t.co/AAdZy0lXtU"
1354738656892882948,2021-01-28 10:30:40,This is the time we must draw on every reserve of patience and resilience to tolerate and adhere to the necessary m… https://t.co/ehsfNKqCPY
1354738400142753794,2021-01-28 10:29:39,"In the face of new, more transmissible variants of the virus, we will need to keep our guard up @hans_kluge"
1354738227618459654,2021-01-28 10:28:57,"To the millions of you in the 25 European countries that are currently in partial or full nationwide lockdown, whos… https://t.co/xTsEqCuTKf"
1354738175902707714,2021-01-28 10:28:45,We need to stay patient. It will take time to vaccinate against #COVID19 @hans_kluge
1354737884482445315,2021-01-28 10:27:36,The introduction and gradual lifting of measures based on epidemiological criteria remains our best option to allow… https://t.co/Ir6Hjln9X5
