tweet_id,created_at,text
1356332646243184646,2021-02-01 20:04:36,".@captaintommoore's strength, compassion &amp; determination have been a huge inspiration throughout the #COVID19 pande… https://t.co/AsNUhjoPP1"
1356309310565982210,2021-02-01 18:31:53,"The detention of political leaders in Myanmar is a serious blow to democratic reforms in the country.

I urge the m… https://t.co/1QfSxnJLnO"
1356095429981696001,2021-02-01 04:22:00,"People’s chances in life depend on their gender, race, family &amp; ethnic background, whether they have a disability,… https://t.co/0lfsq2f4gv"
1355823890916757507,2021-01-31 10:23:00,"More than 70 million #COVID19 vaccine doses have been administered so far.

Less than 20,000 of these were on the A… https://t.co/GVBIZuF5Ff"
1355702339840176128,2021-01-31 02:20:00,"We have an opportunity to end our senseless war on nature and start the healing process.

The world wants a greener… https://t.co/Lt0l6tiMPy"
1355548242533097472,2021-01-30 16:07:40,"This year must be a year of healing.

Healing from the pandemic, and healing our broken societies in which hatred h… https://t.co/mZ3AwZnW2f"
1355336429006516224,2021-01-30 02:06:00,"Gender equality is perhaps the world’s greatest human rights challenge.

Women’s equal leadership and representatio… https://t.co/nwmaAr5MJw"
1355243107177148416,2021-01-29 19:55:10,"2021 is a critical year for climate change and biodiversity.

I call on every city, company and financial instituti… https://t.co/nk5xFdEnEQ"
1355089552201846784,2021-01-29 09:45:00,"The world is falling short in our response to the #COVID19 crisis.

We must ensure that vaccines are available and… https://t.co/NTVLDvniCa"
1355039220360998917,2021-01-29 06:25:00,My admiration and gratitude to everyone who has worked to safeguard communities during this pandemic and make a… https://t.co/PeXyIhKi0F
1354990314675712001,2021-01-29 03:10:40,I am very thankful to the City of New York for including @UN staff and diplomats in their #COVID19 vaccination prog… https://t.co/1E7B1FLPC6
1354899689682907138,2021-01-28 21:10:33,"I was fortunate and grateful to get the first dose of my #COVID19 vaccine today.

We must get to work to make sure… https://t.co/MNnFb610uT"
1354876397618044930,2021-01-28 19:38:00,"My message for 2021 is a message of hope and determination.

Hope, as I believe it is possible to change gear and p… https://t.co/2P2pUHw0b4"
1354849603317870607,2021-01-28 17:51:31,"The #COVID19 pandemic unleashed havoc in every country and every economy.

Now is the time to secure the well-being… https://t.co/CDMPBu9YtT"
1354837128161669121,2021-01-28 17:01:57,"2020 was a year of death, disaster and despair. 2021 must be the year to change gear and put the world on track.

W… https://t.co/Uq0rbwAfPT"
1354499499889143813,2021-01-27 18:40:20,"White supremacists &amp; neo-Nazis are intensifying their efforts to deny &amp; distort the Holocaust, as the number of sur… https://t.co/iyWvGRlut8"
1354461844946169870,2021-01-27 16:10:43,"It's sad, but not surprising, that #COVID19 has triggered an eruption of antisemitism.

There is no vaccine for ant… https://t.co/xDm7ujuDFm"
1354275940906528774,2021-01-27 03:52:00,Today we honour the memory of the six million Jews &amp; millions of others who were systematically murdered in the Hol… https://t.co/K1MvwidyYh
1354236430688657422,2021-01-27 01:15:00,"The scale of turmoil around the world requires deeper efforts to ease tensions &amp; prevent escalation.

I am grateful… https://t.co/BNpDMvKMKb"
1354187886086774790,2021-01-26 22:02:06,"The world has reached the heartbreaking milestone of 100 million #COVID19 cases, as the virus continues to surge ar… https://t.co/bdsdPhzEFH"
1353868734549651456,2021-01-26 00:53:54,I was honoured to join Holocaust survivors to mark the 76th anniversary of the liberation of the Auschwitz-Birkenau… https://t.co/gkEsha2H8t
1353831261131792387,2021-01-25 22:25:00,"We are facing the worst health &amp; economic crisis in 90 years.

This year, we have an opportunity to use our recover… https://t.co/fVsbYpaEzM"
1353791221043494913,2021-01-25 19:45:53,"Humanity has just endured a year of tragedy &amp; crisis that we never want to repeat.

In 2021 we have a unique chance… https://t.co/c9HbnyC0P2"
1353713368918597634,2021-01-25 14:36:32,A country’s ability to adapt to &amp; prepare for the increasingly harmful impacts of the climate crisis should not dep… https://t.co/23PTlPRXKj
1353502091906580480,2021-01-25 00:37:00,"It is heartbreaking to see so many people around the world struggling with mental health issues, and how little we… https://t.co/J2K6hNG14G"
1353305295355838464,2021-01-24 11:35:00,"Child labour should have no place in today's world.

Sadly, it remains a reality for 152 million children.

2021 is… https://t.co/FP1i7RunZB"
1353165876439080964,2021-01-24 02:21:00,"This #EducationDay, I pay tribute to the resilience of students, teachers and families faced with disruptions cause… https://t.co/Jxk0qs9qVj"
1353101701016920070,2021-01-23 22:05:59,"Preventing conflict &amp; maintaining peace can save countless lives.

I urge the international community to come toget… https://t.co/ULRBbtftRw"
1352760938647191552,2021-01-22 23:31:55,"Governments must protect their people, but “vaccinationalism” is self-defeating and will delay a global recovery.… https://t.co/tdfIVeT9Cd"
1352483630996713473,2021-01-22 05:10:00,"Today, the Treaty on the Prohibition of Nuclear Weapons enters into force.

This is a major step toward a world fre… https://t.co/2yQ79kkBWK"
1352382968619261953,2021-01-21 22:30:00,"Yesterday I congratulated Joe Biden and Kamala Harris on the beginning of their mandates as @POTUS and @VP.

The Un… https://t.co/7xqB2ni9F8"
1352346892135522304,2021-01-21 20:06:39,"I strongly condemn the deadly double suicide bombing targeting civilians at a market in Baghdad today.

I appeal to… https://t.co/cKwwjU7hpd"
1352116209991503872,2021-01-21 04:50:00,"Some countries are procuring #COVID19 vaccines beyond need.

We need countries to commit now to sharing excess dose… https://t.co/B9Bz772R8B"
1352031686456991748,2021-01-20 23:14:08,"I warmly welcome @POTUS Joe Biden’s steps for the USA to re-enter the #ParisAgreement, the global roadmap to tackle… https://t.co/hiHIsgEbu9"
1351641709625667586,2021-01-19 21:24:30,"Already this year, nine @UN peacekeepers have been killed around the world.

This is shocking, shameful &amp; unaccepta… https://t.co/eLhJIfLWf9"
1351578384636194818,2021-01-19 17:12:52,"All countries need #COVID19 vaccine doses now to protect all healthcare and frontline workers.

We must treat vacci… https://t.co/3vx3Ry2TZo"
1351247224324296706,2021-01-18 19:16:57,"Dr. Martin Luther King Jr.'s dream of equality and social justice for all remains an inspiration.

Decades after hi… https://t.co/QrXpSNcO4H"
1350969403366658052,2021-01-18 00:53:00,"As safe, effective #COVID19 vaccines are being rolled out, let’s also remember the simple and proven steps we can a… https://t.co/dBO0S8sN2A"
1350802302483877893,2021-01-17 13:49:00,"It's impossible not to feel heartbroken when we see so many people with no access to healthcare.

This is absolutel… https://t.co/0YMuuFdSQJ"
1350545107725012993,2021-01-16 20:47:00,"#COVID19 vaccines are reaching high income countries quickly, while the world’s poorest have none at all.

Science… https://t.co/O1M5uZQWnT"
1350423556811862024,2021-01-16 12:44:00,"A new momentum is emerging.

Many large emitters have committed to achieving zero net emissions by 2050.

The main… https://t.co/AMEvTrYVL9"
1350256455564353542,2021-01-16 01:40:00,International migrants help fill critical labour gaps &amp; and complement workers in their host communities - as we ha… https://t.co/jnQvqNDiLe
1350138684071440387,2021-01-15 17:52:01,"Our world has reached a heart-wrenching milestone:  #COVID19 has now claimed two million lives.

Sadly, the impact… https://t.co/m8EtzGsiIu"
1349827126652911619,2021-01-14 21:14:00,"It is a moral imperative to help those already suffering from the effects of climate change to adapt.

Yet, huge ga… https://t.co/ctKH6Nrc9z"
1349784757249454084,2021-01-14 18:25:38,"Yet another stark reminder of the relentless pace of climate change, which is destroying lives &amp; livelihoods across… https://t.co/v3HATmB3bd"
1349444630107054088,2021-01-13 19:54:05,"It is crucial to address the challenges faced by many people working from home - including poor working conditions,… https://t.co/MRQs1KHiV3"
1349126761695514625,2021-01-12 22:51:00,"It was a pleasure to speak today with His Royal Highness The Prince of Wales.

I expressed my gratitude for his ste… https://t.co/wIHXYBOaxU"
1349095043605426181,2021-01-12 20:44:58,"I was delighted to speak today with Archbishop of Canterbury @JustinWelby.

I thanked him for his leadership on pea… https://t.co/qwyS18Tc7e"
1349062045715591168,2021-01-12 18:33:50,"Today marks 11 years since a devastating earthquake in Haiti claimed the lives of hundreds of thousands of people,… https://t.co/5eB83UuEw9"
1349022282568642563,2021-01-12 15:55:50,"The United Kingdom has been a committed partner of the United Nations for 75 years.

Yesterday I thanked Prime Mini… https://t.co/NbYIl1G63k"
1348726568445685768,2021-01-11 20:20:46,"To achieve net zero emissions by 2050, we need an urgent transition from fossil fuels to renewable energy.

It is e… https://t.co/JeARkOoDUv"
1348649923961565184,2021-01-11 15:16:13,"Nous exploitons notre planète comme si nous en avions une autre.

2021 doit être l’année de la réconciliation entre… https://t.co/yrrA7FinkW"
1348641599157370884,2021-01-11 14:43:08,"We have been abusing our planet as if we had a spare one.

2021 must be the year to reconcile humanity with nature.… https://t.co/SenwGiQNEi"
1348457265754472448,2021-01-11 02:30:39,"To mark the 75th anniversary of the @UN, we asked people around the world to share their hopes, fears &amp; priorities.… https://t.co/pWQ3PvTbpQ"
1348369276617551873,2021-01-10 20:41:01,I was pleased to mark the 75th anniversary of the first @UN General Assembly meeting with an outstanding group of y… https://t.co/RmplEAkGzJ
1348314248867405829,2021-01-10 17:02:22,"RT @UN: Watch live: @antonioguterres marks the 75th anniversary of the first #UNGA meeting on 10 January 1946 in London. #UN75

https://t.c…"
1347921068170780675,2021-01-09 15:00:00,"The only winner of conflict during a pandemic is the pandemic itself.

That is why I reiterate my call for a global… https://t.co/yn55Wc0bI6"
1347678824000090115,2021-01-08 22:57:24,"2021 is the International Year of Health and Care Workers.

I'm deeply grateful for the courage &amp; commitment of all… https://t.co/WlicaUlbeb"
1347386293391667200,2021-01-08 03:35:00,The clean energy transition will create 18 million net new jobs by 2030. But there will also be inevitable job loss… https://t.co/LQawBkH7PU
1346900148140593154,2021-01-06 19:23:14,"Guaranteeing equal opportunities, protection &amp; participation in decision-making are not simply moral &amp; legal obliga… https://t.co/uE3gugnrZS"
1346614962026737666,2021-01-06 00:30:00,"I reiterate my call to @UN member countries to provide financial support to the COVAX Facility, so that it can dist… https://t.co/BnO4Q55uIh"
1346043445110947840,2021-01-04 10:39:00,The impacts of climate change &amp; environmental degradation fall most heavily on women. They are 80% of those displac… https://t.co/SSk2jEi3J3
1345725852261220353,2021-01-03 13:37:00,"Vaccine nationalism is not only unfair, it is self-defeating.

No country will be safe from #COVID19 until all countries are safe."
1345399703404388353,2021-01-02 16:01:00,"We have once more pushed our world to the brink.

We must step up to the challenges that will define our generation… https://t.co/jAfs38E5v7"
1345203410102964224,2021-01-02 03:01:00,"Let’s not fool ourselves. A #COVID19 vaccine cannot undo damage that will stretch across years, even decades to com… https://t.co/0OsHFu5ifm"
1345005819499343872,2021-01-01 13:55:51,Music is the universal language of hope &amp; peace - and can bring humanity closer together while we are physically di… https://t.co/DrFLzub9x8
1344767286003920896,2020-12-31 22:08:00,"Let's make 2021 a year of healing.

Healing from the impact of a deadly virus. Healing broken economies and societi… https://t.co/ThdBD09tAc"
1344663324164816902,2020-12-31 15:14:53,"As the mandate of @UNAMIDnews comes to an end, my gratitude to all countries &amp; personnel who contributed to the his… https://t.co/gFstnyOhnq"
1344304741938032642,2020-12-30 15:30:01,"Distribution of #COVID19 vaccines around the world will be a monumental task, requiring political solidarity &amp; comp… https://t.co/VlmWjr5335"
1343983622286524416,2020-12-29 18:14:00,"As we reflect on 2020, I grieve our @UN colleagues lost in the line of duty this year, and those whose lives were c… https://t.co/z1MgF8NgGr"
1343708560107032576,2020-12-29 00:01:00,"2020 has been a year of trials, tragedies and tears.

But a New Year lies ahead. And with it, we see rays of hope.… https://t.co/ZMTfqtH3s9"
1343620227926515712,2020-12-28 18:10:00,"Only by mobilizing entire societies can we address our biggest shared problems.

Only by working across borders can… https://t.co/It165Trigm"
1343186117311438849,2020-12-27 13:25:00,"The fallout of the assault on our planet is impeding our efforts to eliminate poverty and is driving instability, d… https://t.co/uItNlqUGil"
1342989572297302017,2020-12-27 00:24:00,"This year we have seen the tragedy that strikes when health facilities are overwhelmed by a new, highly infectious… https://t.co/btxnlJqzZg"
1342657383311532032,2020-12-26 02:24:00,"There can be no separating #ClimateAction from dealing with other global issues. Everything is interlinked.

That m… https://t.co/Dte7BA2szl"
1342139219595169793,2020-12-24 16:05:00,"My warmest wishes to everyone celebrating #Christmas

May this occasion inspire us to reflect with compassion for t… https://t.co/TMb0FIOrSC"
1341901905371402240,2020-12-24 00:22:00,"As a new year approaches, the challenges are clear: the #COVID19 response will consume 2021 and the climate crisis… https://t.co/eD4TTyU4Ia"
