tweet_id,created_at,text
1356268562034397190,2021-02-01 15:49:58,"RT @weimers: If the European Commission really cared about the future of Europe, and not so much about getting praise from the liberal left…"
1355223971298480131,2021-01-29 18:39:08,"RT @Reset_EU_ECR: What do we at the @ECRgroup want for the #FutureOfEurope? 
We're for rehabilitating the virtues of national sovereignty,…"
1355219132371902468,2021-01-29 18:19:54,The #EU shouldn't be the evil hero. It should be the organisation working for the common interests of member states… https://t.co/bNJkP59u9q
1355211099919020033,2021-01-29 17:47:59,European values have been displaced and substituted with something else. We used to have democracy as an example fo… https://t.co/pf3PFiRW0Z
1355200241855832064,2021-01-29 17:04:50,RT @Reset_EU_ECR: Mass movement into #Europe will never end. A return policy can never make up for border security. If the @EU_Commission r…
1355199818205900803,2021-01-29 17:03:09,RT @Reset_EU_ECR: We need to stop the building of a European superstate; we need to prevent member states being left voiceless. We cannot b…
1355199600102141956,2021-01-29 17:02:17,It's a misunderstanding of the concept of borders that has shaped #EU immigration policy; the results of which have… https://t.co/GAsVn5Mi2a
1355198151788003330,2021-01-29 16:56:32,The #EU is facing a great challenge regarding which direction to develop in. We must return to our roots and fight… https://t.co/vNlchw3btl
1355184185091239936,2021-01-29 16:01:02,"RT @Reset_EU_ECR: 🔴 We're live.

Join us now.

📍🗣️🇬🇧 https://t.co/4o33EA8PMV
📍🗣️🇧🇬 https://t.co/z4eg7DKbyz
📍🗣️🇵🇱 https://t.co/2TGbsje26I
📍…"
1355146757487910915,2021-01-29 13:32:19,"RT @Rob_Roos: 📣Breaking! We did the numbers! Together with ⁦@RenewEurope⁩ MEP ⁦@KnotekOndrej⁩ I initiated a peer-reviewed, scientific study…"
1355132978498777089,2021-01-29 12:37:33,"It's time to #ResetEU.

ECR Co-Chair Prof Ryszard Legutko, MEPs @ZdzKrasnodebski @djambazki @hermanntertsch… https://t.co/erywS4kJU3"
1355087126229094400,2021-01-29 09:35:21,"Having reassessed its functioning in light of the #COVID19 pandemic, ECR MEP &amp; Shadow Rapporteur @Rob_Roos and coll… https://t.co/03Weuz8EQQ"
1355050943826587648,2021-01-29 07:11:35,"📍🗣️🇬🇧 https://t.co/xEzTKPGpCh
📍🗣️🇧🇬 https://t.co/oO3ZAY7qay
📍🗣️🇵🇱 https://t.co/7hbCki18Lz
📍🗣️🇮🇹… https://t.co/3ScSkY7Rms"
1355050941989457922,2021-01-29 07:11:34,"Today | 17:00 CET
With @Reset_EU_ECR, we lay out a bold alternative for the #FutureofEurope.

Join us in 5 language… https://t.co/QSSrbK7WdM"
1354848500404654081,2021-01-28 17:47:09,"The second installment of our European Tour lands in Sofia 🇧🇬 tomorrow.

Co-Chair Prof. Ryszard Legutko and MEPs… https://t.co/udCqhZcV7K"
1354806479769878538,2021-01-28 15:00:10,"Our aim for #EU-#US relations should be for breakthroughs in the trade of digital services, shared… https://t.co/5yo65yUJqC"
1354805982954541063,2021-01-28 14:58:12,"Josep Borrell's forthcoming visit to Moscow #Russia must be reconsidered.

ECR MEPs take the initiative to send a c… https://t.co/jU0p7R5phY"
1354784760212557826,2021-01-28 13:33:52,"RT @Reset_EU_ECR: The #EUs continual seizures of power over the years has made #Europe too bureaucratic, too inflexible, and out of touch w…"
1354779371765166082,2021-01-28 13:12:27,"Amidst this pandemic, consumers must be protected even more effectively in the digital marketplace – especially reg… https://t.co/xb0MX3kZSa"
1354775911267229700,2021-01-28 12:58:42,"The US is undergoing a transition, which could mean a decline in the importance of the #UnitedStates in #Europe. Th… https://t.co/WxE5t24lnR"
1354717909810081793,2021-01-28 09:08:13,"RT @Reset_EU_ECR: 🗓️ Tomorrow | 17:00 CET 🕰️

There’s a new hope for #Europe.

Join us. Let’s #ResetEU.

🇬🇧 https://t.co/4o33EA8PMV
🇧🇬 http…"
1354469881526292484,2021-01-27 16:42:39,Poverty &amp; inequality in #Africa should be seen as a lack of access to resources needed for a dignified life. Fundin… https://t.co/bsZCmLRSV6
1354469189734588420,2021-01-27 16:39:54,"RT @Reset_EU_ECR: #Europe needs to take its borders seriously.

📣 @ecrgroup MEPs @djambazki @hermanntertsch @weimers @NProcaccini @ZdzKrasn…"
1354447987758542852,2021-01-27 15:15:39,"""It is time to return key decision-making powers back to member states, without the threat of sanctions from the… https://t.co/TfYWJZDiE5"
