tweet_id,created_at,text
1356138619019341826,2021-02-01 07:13:37,I strongly condemn the coup in #Myanmar and call on the military to release all who have been unlawfully detained i… https://t.co/c5qRGCXK1V
1354362072251949057,2021-01-27 09:34:15,"We stand United in our shared commitment to preserving the memory of the Holocaust and fighting antisemitism.

My j… https://t.co/SkUh2XhfZy"
1354330732311810049,2021-01-27 07:29:43,Remembering the Holocaust is a moral duty. Not only to pay tribute to victims. But also to renew our allegiance to… https://t.co/mNjr5Zophk
1353980184291061760,2021-01-26 08:16:46,"Õnnitlen Kaja Kallast Eesti esimeseks naispeaministriks saamise puhul!

I would like to welcome @kajakallas as the… https://t.co/JqmurFWpLG"
1353588599472746499,2021-01-25 06:20:45,"My heartfelt congratulations to Marcelo Rebelo de Sousa for his re-election as President of Portugal 🇵🇹 

Estou seg… https://t.co/GEsDR9DubP"
1352632787854123010,2021-01-22 15:02:41,"Discussion on EU Turkey relationship with foreign minister @MevlutCavusoglu ahead of March #EUCO 

Dialogue needs t… https://t.co/maLj0UVWoO"
1352561206125621249,2021-01-22 10:18:15,In my call with president Putin @KremlinRussia_E today I reiterated  #EU is united in its condemnation of Alexey… https://t.co/Ihh8qDJqwE
1352382322482556929,2021-01-21 22:27:26,"🇪🇺 Leaders want vaccination to be accelerated.

In this respect, commitments on deliveries made by companies must b… https://t.co/95RBhnHr83"
1352375888218877973,2021-01-21 22:01:52,"We are convinced borders must remain open. At the same time, we are also convinced restrictions on non-essential tr… https://t.co/JY19oUWi4L"
1352369480744230916,2021-01-21 21:36:24,🔴 LIVE NOW: follow the press conference after the #EUCO members' video conference #COVID19  https://t.co/0cOvddc4ul
1352210945511219201,2021-01-21 11:06:26,"Welcomed president  @Zourabichvili_S to Brussels.

We continue to stand by Georgia in its efforts to overcome… https://t.co/8riqRcxZGg"
1351935935945060352,2021-01-20 16:53:39,"I wish President @JoeBiden &amp; Vice President @KamalaHarris my very best, as they strive to heal their country &amp; lead… https://t.co/9BOeQyQlSy"
1351877164816355330,2021-01-20 13:00:07,"I want to thank  @DrTedros for proposing a @WHO working group on the pandemic treaty.

We will continue to work tog… https://t.co/KMWRQPK6g4"
1351846683966124033,2021-01-20 10:59:00,"We reaffirm the strategic importance of our EU-US partnership

Based on shared values, common interests, cultural a… https://t.co/7rS1j7FW8B"
1351801492446048256,2021-01-20 07:59:25,"On the first day of his mandate, I address a solemn proposal to President @JoeBiden: 

Let's build a new #EU #US fo… https://t.co/OmD2N7Wn7h"
