handle	user_id	location	verified
Life4meplus	786236193776214016	Lenzburg, Schweiz	False
TerrorismPolice	714767463586603009	United Kingdom	True
_richardramos	863039952401170433	Loiret, France	False
Ad4EU	1042083772076892162	On background	True
pietraszewski_l	863844064961200130	Paris, France	True
CaroleBBonnard	863846061202341890	Noyon, France	True
DrManaouda	1017853450233831430	Yaoundé 	True
ArtykovaNazira	998472950524280838	NA	False
UKinAhmedabad	1056538431164047360	NA	True
UNHCRLibya	902045651726368768	Libyen	True
Ordre_Pharma	2726494218	NA	True
ips_journal	832591333080571910	Brüssel, Belgien	True
aferrerl	1136036849783382022	NA	False
swissMFAeurope	1057223777556291589	Berne, Switzerland	True
westfieldlondon	34627598	London, England	True
EMEN_Project	940980537946267656	Europe	False
NorthantsInsp	1358874529695727625	NA	False
captaintommoore	1247966591205195784	NA	True
TomTugendhat	2173779986	Kent	True
BellAndCrownW4	459268108	11-13 Thames Rd W4 3PL	False
EUDelegationUA	576094228	NA	True
BielBienne_off	2389221396	Biel/Bienne	True
transcotland	83853327	Scotland	True
m_ebrard	64798737	Ciudad de México	True
GManastirliu	2738061335	Albania	False
PallCorporation	259760160	Port Washington, NY	False
THristea	2509979681	Rumänien	False
Bannier_G	866695760905154560	Courbeveille, France	True
cochetel	2283700272	Europe - North Africa - Africa	True
Saqlain_Mushtaq	323469361	England/Pakistan	True
HeikoMaas	24158261	Saarlouis/Berlin	True
NewStatesman	19906615	London, England. Founded 1913	True
aureliecr	402309175	Paris 	False
MySwitzerland_e	80298043	Switzerland	True
afpfr	338985020	Paris	True
franckriester	406978622	NA	True
JonAshworth	143212610	Leicester, England	True
unesconewdelhi	3304849422	Neu-Delhi, Republik Indien	True
derspiegel	2834511	Hamburg, Germany	True
ukinspain	16883794	Spain	True
sandumaiamd	4823433298	Moldova	False
Europe1	34570323	Paris, France	True
emmanuelmaurel	66691158	NA	True
LArribage	1316528215	Toulouse	True
flyPAL	54149214	NA	True
WeardaleNPT	500015204	Weardale, Co. Durham	False
EUROCHAMBRES	1071169639	Europe	True
Valeurs	112754792	France	True
SheffieldUnited	63463538	Sheffield, UK	True
RPFranceUE	260743284	Bruxelles	True
VMontandon	1301217397	Paris, France	False
ManlioDS	208642171	Mailand, Lombardei	True
RicardoMerlo5	744528773559750656	Roma, Lazio	False
MFA_Lu	711866406950801408	Luxembourg	True
UNICEFKenya	465502339	Nairobi, Kenya	True
MarleneSchiappa	14237828	Paris & Corse 	True
UNECOSOC	504914052	New York	True
_Axiiane	715953112448634881	she/her | minor | fr/eng	False
JJTHIRSON	824197420754014209	HIRSON Aisne	False
PresRajapaksa	1003757702	Sri Lanka	True
MinataSAMATE	821171885228560385	Addis Abeba-Ethiopie	False
CMOGuj	765535468104585217	Gandhinagar, India	True
saskiabricmont	29032586	Wallonie-Bruxelles 	True
michaelgove	748453510048518145	NA	True
Prefet67	2811510925	Strasbourg	True
catherine_dumas	487874704	Paris, France	True
slegrain75	2188542098	Paris, France	False
philippejuvin	11911322	La Garenne-Colombes, France	True
samiraraf	624017568	Nederland	True
FCO	2748825764	London	False
guardian	87818409	London	True
TF1LeJT	3390775469	NA	True
UEenCI	3224674479	Abidjan 	True
etihad	45621423	Abu Dhabi, UAE	True
nadhimzahawi	121127090	Stratford Upon Avon	True
prefetrhone	2925158589	Lyon, Rhône-Alpes	True
GlblCtzn	596893898	Worldwide	True
WHO_Europe	125403342	Copenhagen	True
Silversea	15237333	Nine Ships. Seven Continents.	True
EBRD	22667478	London, UK	True
ECDC_Flu	1371668696	Stockholm, Sweden	True
ZacGoldsmith	22159580	London	True
blackburndarwen	19308765	Blackburn with Darwen	True
KGeorgieva	123109597	Washington, DC	True
icao	246309084	Headquarters in Montreal, CAN	True
Julia_Spies	4446585052	NA	False
lilia_dez	1061650658	NA	False
sebastianpinera	13623532	Chile	True
PereiraJosLouis	2529722611	Gers, Occitanie, Fr	False
NHSEnglandLDN	31129844	London, England	True
GlblCtznImpact	22872308	NA	True
GedlingBC	196108535	Nottingham, Nottinghamshire	True
luigidimaio	48062712	Pomigliano d'Arco, Campania	True
GOVUK	17481977	UK	True
wendychambLD	2785648892	Fife, Scotland	True
PoliceNat74	988351938042519552	Haute-Savoie, Rhône-Alpes	True
OlivierClaris	1073147769358114816	NA	False
SylvainGilles1	1130091241687998464	NA	False
RobertJenrick	2323710210	NA	True
PortMiami	169066756	Miami, FL	True
SylvieTolmont	456917253	NA	True
IOMResearch	786194966796050433	Genf, Schweiz	True
luefkens	7278212	Messery, France	True
RMCinfo	123830541	France	True
dozydora99	106750230	Eastbourne	False
ParmelinG	1072443638930726913	Berne, Suisse	True
FranceenSerbie	954311581084672001	Belgrade, République de Serbie	True
MerseyPolice	28172574	Merseyside, England	True
BurnleyPolice	1725301022	Burnley, England	True
MarkDrakeford	207667494	Cardiff West 	True
ClarenceHouse	208019751	United Kingdom	True
Switzerland_SA	1121760158785384448	NA	True
PhOlivierRN	1121349820747264000	NA	True
handicap_gouv	877430671144300544	Paris, Frankreich	True
FeryalClark	67289397	Enfield, London 	True
Jeremfrancosui1	1251825905376342016	Annecy-le-Vieux, France	False
leboncoinGroupe	1124319176141746176	Frankreich	True
Gendarmerie_078	1052490797713633280	Yvelines, Ile-de-France	False
OPASOMSBrasil	1009084690333085696	Brasília, Brasilien	True
iwomenconnector	990660818139262976	Amsterdam, The Netherlands	False
sami_hmissi	1168993803648282624	France	False
Facebook	2425151	Menlo Park, California	True
Armees_Gouv	158736704	Paris, France	True
Brillbrighton	442810695	Brighton	False
PoliceNat51	938721751801966593	Reims, Frankreich	True
ManCity	14573900	Etihad Stadium	True
WHOJordan	931668301	Amman, Jordan	True
agnesbuzyn	864830560560132097	Geneva, Switzerland	True
Confederation	16130383	Thunder Bay, Ontario	False
CristianSBusoi	1201868392824745985	European Parliament 	True
WHOIndonesia	226861395	Jakarta	True
FR_FranceFR	59400538	FRANCE	False
airfrance	106062176	NA	True
Ka_Meier	3672506723	NA	False
BrumCityWMP	2354594161	Birmingham, United Kingdom	False
SLagodinsky	436470131	Berlin, Hamburg, Brussels	True
Prefet77	3164414331	Seine-et-Marne FRANCE	True
Isabelle_Durant	204816763	Genève, Suisse	False
europeaid	1350078021663862784	NA	False
MPSWestbourne	838386665727078400	London, England	False
MHewittNPCC	727523066645983232	Westminster	True
europeangreens	29958529	Brussels, Belgium	True
EU_in_India	1469342083	NA	True
AnjaWydenGuelpa	2856722823	Geneva	False
HighwaysSEAST	224657803	South East, England	False
GEF_Europe	278020492	Brüssel, Belgien	False
syptweet	73400717	South Yorkshire	True
Sdis76	2421752209	Yvetot	True
regiongrandest	4113039761	Alsace Champagne-Ardenne Lorra	True
MarianMarinescu	90014101	Brussels	True
EliMartichoux	403399062	NA	True
faureolivier	213754264	France	True
jerome_1202	1561215384	🇨🇭Geneva, Switzerland	False
Travail_Gouv	43098525	France	True
poliziadistato	20423071	NA	True
mbompard	250323361	NA	True
NLinPhilippines	4777148833	Republic of the Philippines	True
cnni	2097571	Everywhere	True
Bleu_Gascogne	198435241	Mont-de-Marsan	True
standardnews	38142380	London	True
Gilles_Simeoni	519946670	Corsica	True
NCDCGeorgia	608428464	Tbilisi	False
MPSWForest	507969969	Waltham Forest, London	True
LubnaQassim	545079736	UAE	False
EUinJordan	3291414969	Haschemitisches Königreich Jor	True
Lucian_Cernat	234709437	Policy Intrapreneur. 	False
ONUinfo	67690947	🇺🇳	True
presidentmt	4098752969	Malta	False
boltoncouncil	44687824	Bolton, UK	True
WBA	280412626	West Bromwich	True
christine_kelly	1072300501	Paris FRANCE	False
ajollien	361726424	Lausanne	False
NorfolkPolice	44089820	Norfolk, UK	True
19h30RTS	82043357	Genève	False
BBCRadio4	23937508	London	True
lopinion_fr	1283588581	Paris	True
UKinMumbai	1052035051968495616	Bandra Kurla Complex, Mumbai	True
UNODC_Brussels	760135388828762112	Brüssel, Belgien	False
DCMS	18448883	United Kingdom	True
Douglas4Moray	2890801661	Moray	True
AbikarDr	851423995253719041	Mogadishu, Somalia	True
RenuBindra	725967361	NA	False
